day,susceptible,infected,recovered,chilam,chilamPerDay
0,819921,5,0,0,0
1,819920,5,0,0,0
2,819919,5,0,0,0
3,819918,5,1,0,0
4,819918,6,1,0,0
5,819917,6,2,0,0
6,819916,7,2,0,0
7,819915,7,2,0,0
8,819914,7,3,0,0
9,819913,8,4,0,0
10,819912,8,4,0,0
11,819911,9,5,0,0
12,819910,9,5,0,0
13,819908,10,6,0,0
14,819907,11,7,0,0
15,819906,11,8,0,0
16,819904,12,9,0,0
17,819902,13,9,0,0
18,819901,13,10,0,0
19,819899,14,11,0,0
20,819897,15,12,0,0
21,819895,16,14,0,0
22,819893,17,15,0,0
23,819891,18,16,0,0
24,819888,19,17,0,0
25,819886,20,19,0,0
26,819883,21,20,0,0
27,819880,23,22,0,0
28,819877,24,23,0,0
29,819874,26,25,0,0
30,819870,27,27,0,0
31,819867,29,29,0,0
32,819863,30,31,0,0
33,819859,32,33,0,0
34,819855,34,36,0,0
35,819850,36,38,0,0
36,819845,38,41,0,0
37,819840,41,43,0,0
38,819835,43,46,0,0
39,819829,46,50,0,0
40,819823,48,53,0,0
41,819817,51,56,0,0
42,819810,54,60,0,0
43,819803,57,64,0,0
44,819796,61,68,0,0
45,819788,64,72,0,0
46,819779,68,77,0,0
47,819771,72,82,0,0
48,819761,76,87,0,0
49,819751,81,93,0,0
50,819741,86,98,0,0
51,819729,91,105,0,0
52,819718,96,111,0,0
53,819705,102,118,0,0
54,819692,108,125,0,0
55,819678,114,133,0,0
56,819663,121,141,0,0
57,819647,128,150,0,0
58,819630,135,159,0,0
59,819613,143,169,0,0
60,819594,152,179,0,0
61,819574,160,190,0,0
62,819553,170,201,1,0
63,819531,180,213,1,0
64,819508,190,226,1,0
65,819483,201,240,1,0
66,819457,213,254,1,0
67,819429,226,270,1,0
68,819400,239,286,1,0
69,819369,253,303,1,0
70,819336,268,321,1,0
71,819301,284,340,1,0
72,819264,300,360,1,0
73,819225,318,382,1,0
74,819183,336,405,2,0
75,819140,356,429,2,0
76,819093,377,454,2,0
77,819044,399,481,2,0
78,818993,422,510,2,0
79,818938,447,540,2,0
80,818880,473,572,2,0
81,818818,501,606,3,0
82,818753,530,641,3,0
83,818684,561,679,3,0
84,818611,594,719,3,0
85,818534,629,762,3,0
86,818452,665,807,4,0
87,818366,704,854,4,0
88,818275,745,905,4,0
89,818178,789,958,4,0
90,818075,835,1014,5,0
91,817967,883,1074,5,0
92,817852,935,1137,5,0
93,817731,989,1204,6,0
94,817603,1047,1275,6,0
95,817467,1108,1350,6,0
96,817323,1172,1429,7,0
97,817171,1241,1512,7,0
98,817011,1313,1601,8,0
99,816840,1389,1695,8,0
100,816661,1470,1794,8,0
101,816470,1555,1899,9,0
102,816269,1645,2010,10,0
103,816056,1741,2128,10,0
104,815830,1842,2252,11,0
105,815592,1949,2384,11,0
106,815340,2061,2523,12,0
107,815074,2181,2670,13,0
108,814792,2307,2826,14,0
109,814494,2440,2991,14,0
110,814178,2581,3165,15,0
111,813845,2730,3350,16,0
112,813493,2887,3545,17,0
113,813121,3053,3751,18,1
114,812727,3229,3969,19,1
115,812311,3414,4200,21,1
116,811871,3610,4444,22,1
117,811406,3817,4701,23,1
118,810915,4035,4974,24,1
119,810396,4266,5262,26,1
120,809848,4509,5567,27,1
121,809269,4766,5889,29,1
122,808657,5037,6230,31,1
123,808012,5323,6590,32,1
124,807329,5625,6970,34,1
125,806609,5943,7372,36,2
126,805849,6279,7796,38,2
127,805047,6633,8245,41,2
128,804200,7006,8719,43,2
129,803307,7399,9219,46,2
130,802364,7813,9748,48,2
131,801370,8248,10306,51,2
132,800322,8707,10895,54,2
133,799217,9190,11517,57,3
134,798053,9698,12173,60,3
135,796826,10233,12866,64,3
136,795533,10795,13597,67,3
137,794171,11385,14368,71,3
138,792737,12006,15181,75,4
139,791228,12657,16039,80,4
140,789640,13341,16943,84,4
141,787970,14058,17896,89,4
142,786214,14810,18900,94,5
143,784367,15599,19958,99,5
144,782427,16425,21072,105,5
145,780390,17289,22246,111,5
146,778251,18193,23481,117,6
147,776006,19139,24780,123,6
148,773651,20126,26147,130,6
149,771182,21158,27585,137,7
150,768595,22233,29096,145,7
151,765885,23355,30684,153,7
152,763049,24523,32353,161,8
153,760082,25738,34104,170,8
154,756981,27001,35943,179,9
155,753740,28313,37871,189,9
156,750356,29674,39894,199,10
157,746826,31085,42014,210,10
158,743145,32546,44234,221,11
159,739310,34056,46559,232,11
160,735318,35615,48991,244,12
161,731166,37223,51535,257,12
162,726851,38880,54194,270,13
163,722370,40583,56971,284,13
164,717722,42333,59870,299,14
165,712904,44126,62894,314,15
166,707917,45962,66046,330,15
167,702758,47838,69329,346,16
168,697427,49751,72746,363,17
169,691926,51699,76300,381,17
170,686254,53678,79993,399,18
171,680414,55684,83827,419,19
172,674406,57714,87804,439,19
173,668235,59763,91927,459,20
174,661903,61826,96196,480,21
175,655415,63898,100612,503,22
176,648775,65974,105176,525,22
177,641988,68048,109888,549,23
178,635062,70114,114749,573,24
179,628002,72166,119757,598,25
180,620816,74196,124912,624,25
181,613513,76200,130212,651,26
182,606100,78169,135655,678,27
183,598588,80098,141238,706,27
184,590987,81978,146960,734,28
185,583305,83804,152815,764,29
186,575554,85569,158801,794,29
187,567746,87265,164914,824,30
188,559890,88887,171147,855,31
189,552000,90429,177496,887,31
190,544085,91884,183955,919,32
191,536159,93247,190519,952,32
192,528232,94514,197179,985,33
193,520316,95678,203930,1019,33
194,512423,96737,210764,1053,34
195,504563,97687,217674,1088,34
196,496748,98524,224652,1123,34
197,488988,99246,231690,1158,35
198,481294,99852,238779,1193,35
199,473674,100339,245911,1229,35
200,466138,100708,253078,1265,35
201,458695,100958,260272,1301,35
202,451353,101089,267483,1337,36
203,444119,101102,274704,1373,36
204,436999,101000,281925,1409,36
205,430001,100783,289140,1445,36
206,423130,100456,296339,1481,35
207,416391,100020,303514,1517,35
208,409788,99479,310658,1553,35
209,403324,98836,317764,1588,35
210,397004,98097,324824,1624,35
211,390829,97265,331831,1659,35
212,384802,96344,338778,1693,34
213,378924,95341,345660,1728,34
214,373196,94258,352470,1762,34
215,367618,93103,359203,1796,33
216,362192,91879,365853,1829,33
217,356915,90593,372416,1862,32
218,351789,89249,378887,1894,32
219,346811,87852,385262,1926,31
220,341980,86407,391538,1957,31
221,337295,84920,397710,1988,30
222,332753,83396,403775,2018,30
223,328353,81839,409732,2048,29
224,324093,80254,415578,2077,29
225,319969,78645,421310,2106,28
226,315979,77018,426928,2134,28
227,312120,75375,432429,2162,27
228,308390,73721,437813,2189,26
229,304786,72060,443079,2215,26
230,301303,70395,448226,2241,25
231,297940,68729,453255,2266,25
232,294694,67067,458164,2290,24
233,291560,65410,462955,2314,23
234,288536,63762,467627,2338,23
235,285619,62124,472181,2360,22
236,282806,60500,476619,2383,22
237,280093,58891,480940,2404,21
238,277478,57300,485147,2425,21
239,274957,55728,489240,2446,20
240,272527,54177,493220,2466,19
241,270186,52648,497090,2485,19
242,267931,51143,500851,2504,18
243,265758,49662,504504,2522,18
244,263666,48208,508051,2540,17
245,261650,46779,511495,2557,17
246,259710,45379,514836,2574,16
247,257841,44006,518077,2590,16
248,256042,42662,521221,2606,15
249,254310,41346,524268,2621,15
250,252643,40060,527221,2636,14
251,251038,38803,530083,2650,14
252,249494,37576,532855,2664,13
253,248007,36378,535539,2677,13
254,246577,35210,538137,2690,12
255,245200,34072,540652,2703,12
256,243876,32963,543086,2715,12
257,242601,31883,545441,2727,11
258,241375,30832,547718,2738,11
259,240195,29809,549920,2749,11
260,239060,28815,552050,2760,10
261,237967,27849,554108,2770,10
262,236917,26911,556097,2780,9
263,235906,25999,558019,2790,9
264,234933,25115,559877,2799,9
265,233998,24256,561671,2808,8
266,233098,23424,563403,2817,8
267,232232,22616,565076,2825,8
268,231399,21833,566692,2833,8
269,230598,21075,568251,2841,7
270,229828,20340,569757,2848,7
271,229086,19628,571210,2856,7
272,228373,18939,572612,2863,7
273,227688,18272,573965,2869,6
274,227028,17627,575270,2876,6
275,226393,17002,576529,2882,6
276,225783,16398,577743,2888,6
277,225196,15814,578915,2894,5
278,224631,15249,580044,2900,5
279,224088,14703,581134,2905,5
280,223566,14175,582184,2910,5
281,223063,13665,583196,2915,5
282,222580,13172,584172,2920,4
283,222115,12696,585113,2925,4
284,221668,12236,586020,2930,4
285,221238,11792,586894,2934,4
286,220824,11363,587737,2938,4
287,220427,10950,588548,2942,4
288,220044,10550,589330,2946,3
289,219676,10165,590084,2950,3
290,219322,9793,590810,2954,3
291,218981,9434,591510,2957,3
292,218654,9087,592184,2960,3
293,218339,8753,592833,2964,3
294,218036,8431,593458,2967,3
295,217744,8120,594060,2970,3
296,217464,7821,594640,2973,2
297,217194,7532,595199,2975,2
298,216935,7253,595737,2978,2
299,216685,6984,596255,2981,2
300,216445,6725,596754,2983,2
301,216214,6476,597234,2986,2
302,215992,6235,597697,2988,2
303,215779,6003,598142,2990,2
304,215573,5780,598571,2992,2
305,215376,5565,598984,2994,2
306,215186,5357,599382,2996,1
307,215003,5157,599764,2998,1
308,214827,4965,600133,3000,1
309,214658,4779,600487,3002,1
310,214495,4600,600829,3004,1
311,214339,4428,601157,3005,1
312,214188,4262,601474,3007,1
313,214044,4103,601778,3008,1
314,213904,3949,602071,3010,1
315,213770,3801,602353,3011,1
316,213642,3658,602625,3013,1
317,213518,3521,602886,3014,1
318,213399,3388,603138,3015,1
319,213284,3261,603380,3016,1
320,213174,3138,603613,3018,1
321,213067,3020,603837,3019,1
322,212965,2906,604053,3020,1
323,212867,2797,604260,3021,1
324,212773,2691,604460,3022,0
325,212682,2590,604652,3023,0
326,212595,2492,604837,3024,0
327,212511,2398,605016,3025,0
328,212430,2308,605187,3025,0
329,212352,2221,605352,3026,0
330,212277,2137,605510,3027,0
331,212205,2056,605663,3028,0
332,212136,1978,605810,3029,0
333,212070,1904,605951,3029,0
334,212006,1832,606087,3030,0
335,211944,1762,606218,3031,0
336,211885,1696,606344,3031,0
337,211828,1631,606465,3032,0
338,211773,1570,606582,3032,0
339,211720,1510,606694,3033,0
340,211670,1453,606802,3034,0
341,211621,1398,606906,3034,0
342,211574,1345,607006,3035,0
343,211529,1294,607102,3035,0
344,211485,1245,607194,3035,0
345,211444,1198,607283,3036,0
346,211403,1152,607369,3036,0
347,211365,1109,607451,3037,0
348,211328,1067,607530,3037,0
349,211292,1026,607607,3038,0
350,211257,987,607680,3038,0
351,211224,950,607750,3038,0
352,211193,914,607818,3039,0
353,211162,879,607884,3039,0
354,211132,846,607946,3039,0
355,211104,814,608007,3040,0
356,211077,783,608065,3040,0
357,211051,753,608121,3040,0
358,211025,724,608175,3040,0
359,211001,697,608227,3041,0
360,210978,670,608276,3041,0
361,210955,645,608324,3041,0
362,210934,620,608370,3041,0
363,210913,597,608415,3042,0
364,210893,574,608457,3042,0
365,210874,552,608498,3042,0
366,210855,531,608538,3042,0
367,210838,511,608576,3042,0
368,210821,492,608612,3043,0
369,210804,473,608648,3043,0
370,210788,455,608681,3043,0
371,210773,438,608714,3043,0
372,210758,421,608745,3043,0
373,210744,405,608775,3043,0
374,210731,389,608804,3044,0
375,210718,375,608832,3044,0
376,210705,360,608859,3044,0
377,210693,347,608885,3044,0
378,210682,333,608909,3044,0
379,210670,321,608933,3044,0
380,210660,309,608956,3044,0
381,210649,297,608978,3044,0
382,210639,285,609000,3045,0
383,210630,275,609020,3045,0
384,210621,264,609040,3045,0
385,210612,254,609059,3045,0
386,210603,244,609077,3045,0
387,210595,235,609094,3045,0
388,210587,226,609111,3045,0
389,210580,218,609127,3045,0
390,210572,209,609143,3045,0
391,210565,201,609158,3045,0
392,210559,194,609172,3045,0
393,210552,186,609186,3045,0
394,210546,179,609199,3045,0
395,210540,172,609212,3046,0
396,210534,166,609225,3046,0
397,210529,159,609236,3046,0
398,210523,153,609248,3046,0
399,210518,147,609259,3046,0
400,210513,142,609269,3046,0
401,210509,136,609280,3046,0
402,210504,131,609289,3046,0
403,210500,126,609299,3046,0
404,210495,121,609308,3046,0
405,210491,117,609316,3046,0
406,210487,112,609325,3046,0
407,210484,108,609333,3046,0
408,210480,104,609341,3046,0
409,210477,100,609348,3046,0
410,210473,96,609355,3046,0
411,210470,92,609362,3046,0
412,210467,89,609369,3046,0
413,210464,85,609375,3046,0
414,210461,82,609381,3046,0
415,210458,79,609387,3046,0
416,210456,76,609393,3046,0
417,210453,73,609398,3046,0
418,210451,70,609404,3047,0
419,210448,68,609409,3047,0
420,210446,65,609414,3047,0
421,210444,62,609418,3047,0
422,210442,60,609423,3047,0
423,210440,58,609427,3047,0
424,210438,56,609431,3047,0
425,210436,53,609435,3047,0
426,210434,51,609439,3047,0
427,210432,49,609443,3047,0
428,210431,48,609446,3047,0
429,210429,46,609450,3047,0
430,210428,44,609453,3047,0
431,210426,42,609456,3047,0
432,210425,41,609459,3047,0
433,210423,39,609462,3047,0
434,210422,38,609465,3047,0
435,210421,36,609468,3047,0
436,210419,35,609470,3047,0
437,210418,33,609473,3047,0
438,210417,32,609475,3047,0
439,210416,31,609478,3047,0
440,210415,30,609480,3047,0
441,210414,28,609482,3047,0
442,210413,27,609484,3047,0
443,210412,26,609486,3047,0
444,210411,25,609488,3047,0
445,210410,24,609490,3047,0
446,210409,23,609492,3047,0
447,210409,22,609493,3047,0
448,210408,22,609495,3047,0
449,210407,21,609497,3047,0
450,210406,20,609498,3047,0
451,210406,19,609500,3047,0
452,210405,18,609501,3047,0
453,210405,18,609502,3047,0
454,210404,17,609504,3047,0
455,210403,16,609505,3047,0
456,210403,16,609506,3047,0
457,210402,15,609507,3047,0
458,210402,14,609508,3047,0
459,210401,14,609509,3047,0
460,210401,13,609510,3047,0
461,210400,13,609511,3047,0
462,210400,12,609512,3047,0
463,210399,12,609513,3047,0
464,210399,11,609514,3047,0
465,210399,11,609515,3047,0
466,210398,10,609516,3047,0
467,210398,10,609517,3047,0
468,210397,10,609517,3047,0
469,210397,9,609518,3047,0
470,210397,9,609519,3047,0
471,210397,9,609519,3047,0
472,210396,8,609520,3047,0
473,210396,8,609521,3047,0
474,210396,8,609521,3047,0
475,210395,7,609522,3047,0
476,210395,7,609522,3047,0
477,210395,7,609523,3047,0
478,210395,6,609523,3047,0
479,210394,6,609524,3047,0
480,210394,6,609524,3047,0
481,210394,6,609525,3047,0
482,210394,5,609525,3047,0
483,210394,5,609526,3047,0
484,210393,5,609526,3047,0
485,210393,5,609527,3047,0
486,210393,5,609527,3047,0
487,210393,4,609527,3047,0
488,210393,4,609528,3047,0
489,210393,4,609528,3047,0
490,210392,4,609528,3047,0
491,210392,4,609529,3047,0
492,210392,4,609529,3047,0
493,210392,3,609529,3047,0
494,210392,3,609529,3047,0
495,210392,3,609530,3047,0
496,210392,3,609530,3047,0
497,210391,3,609530,3047,0
498,210391,3,609530,3047,0
499,210391,3,609531,3047,0
500,210391,2,609531,3047,0
501,210391,2,609531,3047,0
502,210391,2,609531,3047,0
503,210391,2,609532,3047,0
504,210391,2,609532,3047,0
505,210391,2,609532,3047,0
506,210391,2,609532,3047,0
507,210391,2,609532,3047,0
508,210390,2,609532,3047,0
509,210390,2,609533,3047,0
510,210390,1,609533,3047,0
511,210390,1,609533,3047,0
512,210390,1,609533,3047,0
513,210390,1,609533,3047,0
514,210390,1,609533,3047,0
515,210390,1,609533,3047,0
516,210390,1,609533,3047,0
517,210390,1,609534,3047,0
518,210390,1,609534,3047,0
519,210390,1,609534,3047,0
520,210390,1,609534,3047,0
521,210390,1,609534,3047,0
522,210390,1,609534,3047,0
523,210390,1,609534,3047,0
524,210390,1,609534,3047,0
525,210390,1,609534,3047,0
526,210390,1,609534,3047,0
527,210389,1,609534,3047,0
528,210389,0,609535,3047,0
529,210389,0,609535,3047,0
530,210389,0,609535,3047,0
531,210389,0,609535,3047,0
532,210389,0,609535,3047,0
533,210389,0,609535,3047,0
534,210389,0,609535,3047,0
535,210389,0,609535,3047,0
536,210389,0,609535,3047,0
537,210389,0,609535,3047,0
538,210389,0,609535,3047,0
539,210389,0,609535,3047,0
540,210389,0,609535,3047,0
541,210389,0,609535,3047,0
542,210389,0,609535,3047,0
543,210389,0,609535,3047,0
544,210389,0,609535,3047,0
545,210389,0,609535,3047,0
546,210389,0,609536,3047,0
547,210389,0,609536,3047,0
548,210389,0,609536,3047,0
549,210389,0,609536,3047,0
550,210389,0,609536,3047,0
551,210389,0,609536,3047,0
552,210389,0,609536,3047,0
553,210389,0,609536,3047,0
554,210389,0,609536,3047,0
555,210389,0,609536,3047,0
556,210389,0,609536,3047,0
557,210389,0,609536,3047,0
558,210389,0,609536,3047,0
559,210389,0,609536,3047,0
560,210389,0,609536,3047,0
561,210389,0,609536,3047,0
562,210389,0,609536,3047,0
563,210389,0,609536,3047,0
564,210389,0,609536,3047,0
565,210389,0,609536,3047,0
566,210389,0,609536,3047,0
567,210389,0,609536,3047,0
568,210389,0,609536,3047,0
569,210389,0,609536,3047,0
570,210389,0,609536,3047,0
571,210389,0,609536,3047,0
572,210389,0,609536,3047,0
573,210389,0,609536,3047,0
574,210389,0,609536,3047,0
575,210389,0,609536,3047,0
576,210389,0,609536,3047,0
577,210389,0,609536,3047,0
578,210389,0,609536,3047,0
579,210389,0,609536,3047,0
580,210389,0,609536,3047,0
581,210389,0,609536,3047,0
582,210389,0,609536,3047,0
583,210389,0,609536,3047,0
584,210389,0,609536,3047,0
585,210389,0,609536,3047,0
586,210389,0,609536,3047,0
587,210389,0,609536,3047,0
588,210389,0,609536,3047,0
589,210389,0,609536,3047,0
590,210389,0,609536,3047,0
591,210389,0,609536,3047,0
592,210389,0,609536,3047,0
593,210389,0,609536,3047,0
594,210389,0,609536,3047,0
595,210389,0,609536,3047,0
596,210389,0,609536,3047,0
597,210389,0,609536,3047,0
598,210389,0,609536,3047,0
