day,susceptible,infected,recovered,chilam,chilamPerDay
0,1546869,5,0,0,0
1,1546868,5,0,0,0
2,1546867,5,0,0,0
3,1546866,5,1,0,0
4,1546866,6,1,0,0
5,1546865,6,2,0,0
6,1546864,7,2,0,0
7,1546863,7,2,0,0
8,1546862,7,3,0,0
9,1546861,8,4,0,0
10,1546860,8,4,0,0
11,1546859,9,5,0,0
12,1546858,9,5,0,0
13,1546856,10,6,0,0
14,1546855,11,7,0,0
15,1546854,11,8,0,0
16,1546852,12,9,0,0
17,1546850,13,9,0,0
18,1546849,13,10,0,0
19,1546847,14,11,0,0
20,1546845,15,12,0,0
21,1546843,16,14,0,0
22,1546841,17,15,0,0
23,1546839,18,16,0,0
24,1546836,19,17,0,0
25,1546834,20,19,0,0
26,1546831,21,20,0,0
27,1546828,23,22,0,0
28,1546825,24,23,0,0
29,1546822,26,25,0,0
30,1546818,27,27,0,0
31,1546815,29,29,0,0
32,1546811,30,31,0,0
33,1546807,32,33,0,0
34,1546803,34,36,0,0
35,1546798,36,38,0,0
36,1546793,38,41,0,0
37,1546788,41,43,0,0
38,1546783,43,46,0,0
39,1546777,46,50,0,0
40,1546771,48,53,0,0
41,1546765,51,56,0,0
42,1546758,54,60,0,0
43,1546751,57,64,0,0
44,1546744,61,68,0,0
45,1546736,64,72,0,0
46,1546727,68,77,0,0
47,1546719,72,82,0,0
48,1546709,76,87,0,0
49,1546699,81,93,0,0
50,1546689,86,98,0,0
51,1546677,91,105,0,0
52,1546666,96,111,0,0
53,1546653,102,118,0,0
54,1546640,108,125,0,0
55,1546626,114,133,0,0
56,1546611,121,141,0,0
57,1546595,128,150,0,0
58,1546578,135,159,0,0
59,1546561,143,169,0,0
60,1546542,152,179,0,0
61,1546522,160,190,0,0
62,1546501,170,201,1,0
63,1546479,180,213,1,0
64,1546456,190,226,1,0
65,1546431,202,240,1,0
66,1546405,213,254,1,0
67,1546377,226,270,1,0
68,1546347,239,286,1,0
69,1546316,253,303,1,0
70,1546283,268,321,1,0
71,1546248,284,340,1,0
72,1546212,300,361,1,0
73,1546172,318,382,1,0
74,1546131,337,405,2,0
75,1546087,356,429,2,0
76,1546041,377,454,2,0
77,1545992,399,481,2,0
78,1545940,423,510,2,0
79,1545885,448,540,2,0
80,1545827,474,572,2,0
81,1545765,501,606,3,0
82,1545700,531,642,3,0
83,1545631,562,680,3,0
84,1545558,595,720,3,0
85,1545480,630,763,3,0
86,1545399,666,808,4,0
87,1545312,705,855,4,0
88,1545220,747,906,4,0
89,1545123,790,959,4,0
90,1545021,836,1015,5,0
91,1544912,885,1075,5,0
92,1544797,937,1138,5,0
93,1544675,992,1205,6,0
94,1544546,1050,1276,6,0
95,1544410,1111,1351,6,0
96,1544266,1176,1431,7,0
97,1544113,1245,1515,7,0
98,1543951,1317,1604,8,0
99,1543780,1394,1698,8,0
100,1543600,1475,1797,8,0
101,1543408,1562,1903,9,0
102,1543205,1653,2014,10,0
103,1542991,1749,2133,10,0
104,1542764,1851,2258,11,0
105,1542524,1959,2390,11,0
106,1542270,2073,2530,12,0
107,1542002,2193,2678,13,0
108,1541717,2321,2834,14,0
109,1541416,2456,3000,15,0
110,1541098,2598,3176,15,0
111,1540762,2749,3361,16,0
112,1540406,2909,3558,17,0
113,1540029,3078,3766,18,1
114,1539631,3256,3986,19,1
115,1539209,3445,4218,21,1
116,1538763,3645,4464,22,1
117,1538292,3856,4725,23,1
118,1537793,4079,5000,25,1
119,1537266,4315,5292,26,1
120,1536709,4564,5600,28,1
121,1536119,4828,5926,29,1
122,1535496,5106,6271,31,1
123,1534837,5400,6635,33,1
124,1534140,5711,7021,35,1
125,1533404,6039,7429,37,2
126,1532626,6386,7861,39,2
127,1531803,6753,8317,41,2
128,1530933,7140,8799,43,2
129,1530015,7548,9309,46,2
130,1529044,7980,9848,49,2
131,1528019,8435,10418,52,2
132,1526935,8916,11021,55,3
133,1525791,9423,11658,58,3
134,1524583,9959,12331,61,3
135,1523307,10523,13042,65,3
136,1521959,11119,13794,68,3
137,1520537,11747,14588,72,3
138,1519036,12409,15428,77,4
139,1517452,13107,16314,81,4
140,1515780,13842,17250,86,4
141,1514017,14617,18239,91,4
142,1512157,15433,19283,96,5
143,1510196,16291,20385,101,5
144,1508128,17196,21549,107,5
145,1505948,18147,22777,113,6
146,1503652,19147,24074,120,6
147,1501232,20199,25441,127,6
148,1498683,21305,26884,134,7
149,1496000,22466,28406,142,7
150,1493175,23686,30011,150,8
151,1490203,24967,31703,158,8
152,1487076,26310,33486,167,8
153,1483788,27719,35365,176,9
154,1480331,29196,37345,186,9
155,1476699,30742,39431,197,10
156,1472884,32362,41627,208,10
157,1468878,34056,43938,219,11
158,1464674,35828,46371,231,12
159,1460264,37679,48930,244,12
160,1455640,39611,51622,258,13
161,1450794,41628,54451,272,14
162,1445718,43730,57424,287,14
163,1440405,45919,60548,302,15
164,1434846,48198,63828,319,16
165,1429034,50567,67271,336,17
166,1422961,53028,70883,354,18
167,1416620,55582,74671,373,18
168,1410002,58229,78641,393,19
169,1403102,60970,82800,414,20
170,1395913,63804,87155,435,21
171,1388428,66732,91713,458,22
172,1380641,69752,96479,482,23
173,1372548,72863,101462,507,24
174,1364143,76063,106666,533,26
175,1355423,79350,112099,560,27
176,1346384,82721,117767,588,28
177,1337024,86173,123676,618,29
178,1327341,89700,129831,649,30
179,1317335,93299,136239,681,32
180,1307005,96964,142903,714,33
181,1296355,100689,149829,749,34
182,1285385,104466,157021,785,35
183,1274100,108289,164483,822,37
184,1262505,112150,172218,861,38
185,1250605,116038,180229,901,40
186,1238409,119946,188518,942,41
187,1225926,123862,197085,985,42
188,1213165,127775,205932,1029,44
189,1200137,131676,215059,1075,45
190,1186856,135551,224465,1122,47
191,1173336,139390,234147,1170,48
192,1159591,143178,244104,1220,49
193,1145637,146904,254331,1271,51
194,1131493,150555,264824,1324,52
195,1117177,154117,275578,1377,53
196,1102707,157579,286587,1432,55
197,1088104,160926,297842,1489,56
198,1073388,164147,309337,1546,57
199,1058580,167230,321062,1605,58
200,1043703,170162,333007,1665,59
201,1028777,172933,345162,1725,60
202,1013825,175533,357514,1787,61
203,998870,177950,370052,1850,62
204,983931,180178,382763,1913,63
205,969032,182207,395633,1978,64
206,954194,184031,408648,2043,65
207,939436,185643,421793,2108,65
208,924779,187040,435054,2175,66
209,910243,188216,448414,2242,66
210,895845,189170,461858,2309,67
211,881602,189900,475370,2376,67
212,867533,190405,488935,2444,67
213,853650,190687,502535,2512,68
214,839970,190747,516156,2580,68
215,826505,190587,529781,2648,68
216,813267,190212,543394,2716,68
217,800266,189626,556981,2784,67
218,787513,188834,570525,2852,67
219,775015,187843,584014,2920,67
220,762781,186661,597431,2987,67
221,750815,185294,610764,3053,66
222,739123,183750,624000,3120,66
223,727709,182039,637125,3185,65
224,716576,180169,650128,3250,65
225,705726,178150,662997,3314,64
226,695160,175991,675722,3378,63
227,684878,173702,688293,3441,62
228,674880,171292,700700,3503,62
229,665165,168772,712936,3564,61
230,655730,166151,724991,3624,60
231,646574,163440,736859,3684,59
232,637693,160646,748533,3742,58
233,629083,157781,760008,3800,57
234,620742,154853,771278,3856,56
235,612663,151870,782339,3911,55
236,604844,148841,793187,3965,54
237,597278,145776,803819,4019,53
238,589961,142680,814232,4071,52
239,582886,139563,824423,4122,50
240,576050,136431,834392,4171,49
241,569445,133291,844137,4220,48
242,563066,130149,853658,4268,47
243,556907,127011,862954,4314,46
244,550963,123883,872027,4360,45
245,545226,120770,880876,4404,44
246,539693,117678,889502,4447,43
247,534355,114610,897908,4489,42
248,529208,111570,906094,4530,40
249,524246,108563,914064,4570,39
250,519463,105591,921818,4609,38
251,514853,102659,929360,4646,37
252,510411,99768,936693,4683,36
253,506132,96921,943820,4719,35
254,502009,94121,950743,4753,34
255,498038,91369,957466,4787,33
256,494214,88666,963992,4819,32
257,490531,86016,970325,4851,31
258,486985,83418,976470,4882,30
259,483571,80873,982428,4912,29
260,480285,78383,988205,4941,28
261,477121,75948,993804,4969,27
262,474075,73569,999229,4996,27
263,471144,71245,1004483,5022,26
264,468323,68977,1009572,5047,25
265,465608,66765,1014499,5072,24
266,462996,64608,1019268,5096,23
267,460482,62507,1023883,5119,23
268,458063,60461,1028348,5141,22
269,455735,58470,1032667,5163,21
270,453496,56533,1036843,5184,20
271,451341,54650,1040882,5204,20
272,449268,52819,1044785,5223,19
273,447274,51040,1048558,5242,18
274,445356,49313,1052204,5261,18
275,443510,47636,1055726,5278,17
276,441734,46009,1059129,5295,17
277,440026,44431,1062415,5312,16
278,438383,42900,1065589,5327,15
279,436803,41417,1068653,5343,15
280,435282,39979,1071612,5358,14
281,433820,38585,1074467,5372,14
282,432413,37236,1077224,5386,13
283,431060,35929,1079883,5399,13
284,429758,34665,1082450,5412,12
285,428506,33441,1084926,5424,12
286,427302,32256,1087315,5436,11
287,426143,31110,1089619,5448,11
288,425029,30002,1091841,5459,11
289,423958,28931,1093984,5469,10
290,422927,27895,1096050,5480,10
291,421935,26894,1098043,5490,9
292,420982,25927,1099964,5499,9
293,420064,24992,1101816,5509,9
294,419182,24089,1103601,5518,8
295,418333,23217,1105322,5526,8
296,417517,22375,1106980,5534,8
297,416732,21562,1108579,5542,7
298,415977,20777,1110119,5550,7
299,415250,20019,1111603,5558,7
300,414552,19288,1113033,5565,7
301,413880,18582,1114411,5572,6
302,413233,17901,1115738,5578,6
303,412612,17244,1117017,5585,6
304,412014,16610,1118248,5591,6
305,411439,15999,1119435,5597,5
306,410885,15409,1120578,5602,5
307,410353,14841,1121679,5608,5
308,409841,14293,1122739,5613,5
309,409349,13764,1123760,5618,5
310,408876,13254,1124743,5623,4
311,408420,12763,1125689,5628,4
312,407982,12289,1126601,5633,4
313,407561,11833,1127479,5637,4
314,407155,11393,1128324,5641,4
315,406765,10969,1129138,5645,4
316,406390,10560,1129922,5649,3
317,406030,10167,1130676,5653,3
318,405683,9787,1131402,5657,3
319,405349,9422,1132101,5660,3
320,405028,9070,1132774,5663,3
