day,susceptible,infected,recovered,chilam,chilamPerDay
0,1546869,5,0,0,0
1,1546867,6,0,0,0
2,1546864,8,0,0,0
3,1546860,11,1,0,0
4,1546856,15,2,0,0
5,1546849,20,3,0,0
6,1546841,27,4,0,0
7,1546830,36,6,0,0
8,1546816,48,9,0,0
9,1546796,64,12,0,0
10,1546770,85,17,0,0
11,1546736,113,23,0,0
12,1546691,151,31,0,0
13,1546630,200,42,0,0
14,1546550,266,56,0,0
15,1546443,354,75,0,0
16,1546301,470,101,0,0
17,1546113,625,134,0,0
18,1545863,831,179,0,0
19,1545531,1103,239,1,0
20,1545089,1466,317,1,0
21,1544504,1947,422,2,0
22,1543726,2586,561,2,0
23,1542693,3433,746,3,0
24,1541324,4558,991,4,1
25,1539507,6049,1317,6,1
26,1537099,8025,1749,8,2
27,1533909,10642,2322,11,2
28,1529688,14102,3082,15,3
29,1524109,18674,4090,20,5
30,1516749,24700,5423,27,6
31,1507062,32623,7188,35,8
32,1494348,43006,9518,47,11
33,1477730,56553,12590,62,15
34,1456119,74124,16630,83,20
35,1428209,96739,21924,109,26
36,1392482,125557,28834,144,34
37,1347271,161799,37803,189,44
38,1290903,206610,49360,246,57
39,1221934,260821,64118,320,73
40,1139520,324604,82748,413,93
41,1043871,397068,105934,529,115
42,936689,475887,134296,671,141
43,821422,557162,168288,841,169
44,703076,635711,208086,1040,198
45,587499,705879,253494,1267,227
46,480262,762696,303914,1519,252
47,385543,802936,358393,1791,272
48,305493,825633,415746,2078,286
49,240271,831881,474720,2373,294
50,188585,824146,534141,2670,297
51,148395,805469,593009,2965,294
52,117487,778843,650543,3252,287
53,93825,746873,706175,3530,278
54,75704,711645,759523,3797,266
55,61773,674744,810355,4051,254
56,50995,637326,858551,4292,240
57,42590,600207,904075,4520,227
58,35980,563945,946947,4734,214
59,30733,528910,987229,4936,201
60,26530,495334,1025009,5125,188
61,23132,463351,1060390,5301,176
62,20360,433026,1093487,5467,165
63,18080,404375,1124418,5622,154
64,16189,377381,1153302,5766,144
65,14610,352005,1180258,5901,134
66,13280,328192,1205401,6027,125
67,12153,305876,1228844,6144,117
68,11191,284989,1250692,6253,109
69,10367,265457,1271049,6355,101
70,9655,247208,1290010,6450,94
71,9038,230167,1307668,6538,88
72,8500,214264,1324108,6620,82
73,8029,199431,1339413,6697,76
74,7615,185599,1353658,6768,71
75,7249,172708,1366915,6834,66
76,6925,160695,1379252,6896,61
77,6638,149505,1390730,6953,57
78,6381,139082,1401409,7007,53
79,6152,129377,1411344,7056,49
80,5946,120342,1420585,7102,46
81,5761,111931,1429181,7145,42
82,5594,104102,1437176,7185,39
83,5443,96817,1444612,7223,37
84,5307,90038,1451528,7257,34
85,5183,83730,1457959,7289,32
86,5071,77861,1463940,7319,29
87,4969,72402,1469501,7347,27
