day,susceptible,infected,recovered,chilam,chilamPerDay
0,535669,5,0,0,0
1,535668,5,0,0,0
2,535666,6,0,0,0
3,535665,7,1,0,0
4,535664,8,1,0,0
5,535662,9,2,0,0
6,535660,10,2,0,0
7,535658,11,3,0,0
8,535656,13,4,0,0
9,535653,14,5,0,0
10,535650,16,6,0,0
11,535647,18,7,0,0
12,535643,21,9,0,0
13,535639,24,10,0,0
14,535634,27,12,0,0
15,535629,30,14,0,0
16,535622,34,16,0,0
17,535615,39,18,0,0
18,535608,44,21,0,0
19,535599,49,24,0,0
20,535589,56,28,0,0
21,535578,63,32,0,0
22,535565,71,36,0,0
23,535551,80,42,0,0
24,535535,91,47,0,0
25,535516,102,54,0,0
26,535496,116,61,0,0
27,535473,130,69,0,0
28,535446,147,79,0,0
29,535417,166,89,0,0
30,535384,188,101,0,0
31,535346,212,115,0,0
32,535303,239,130,0,0
33,535256,270,147,0,0
34,535202,305,166,0,0
35,535141,344,188,0,0
36,535072,388,213,1,0
37,534994,438,240,1,0
38,534907,494,272,1,0
39,534808,558,307,1,0
40,534696,629,347,1,0
41,534571,710,392,1,0
42,534429,801,443,2,0
43,534269,904,500,2,0
44,534089,1019,565,2,0
45,533885,1150,637,3,0
46,533656,1297,720,3,0
47,533398,1463,812,4,0
48,533106,1650,917,4,0
49,532778,1860,1035,5,0
50,532407,2098,1167,5,0
51,531990,2365,1317,6,0
52,531521,2666,1486,7,0
53,530992,3004,1677,8,0
54,530396,3385,1891,9,1
55,529725,3814,2133,10,1
56,528971,4296,2406,12,1
57,528122,4838,2713,13,1
58,527168,5446,3058,15,1
59,526096,6129,3447,17,1
60,524893,6895,3885,19,2
61,523541,7754,4378,21,2
62,522025,8716,4931,24,2
63,520327,9792,5554,27,3
64,518424,10995,6253,31,3
65,516296,12338,7039,35,3
66,513917,13835,7920,39,4
67,511263,15501,8908,44,4
68,508304,17353,10016,50,5
69,505010,19407,11255,56,6
70,501351,21680,12641,63,6
71,497293,24190,14190,70,7
72,492801,26953,15918,79,8
73,487842,29988,17843,89,9
74,482380,33308,19985,99,10
75,476381,36927,22364,111,11
76,469813,40858,25002,125,13
77,462646,45106,27921,139,14
78,454854,49676,31143,155,16
79,446418,54564,34691,173,17
80,437323,59761,38588,192,19
81,427565,65250,42857,214,21
82,417149,71006,47518,237,23
83,406089,76993,52590,262,25
84,394416,83167,58089,290,27
85,382168,89474,64030,320,29
86,369401,95850,70421,352,31
87,356181,102223,77268,386,34
88,342587,108516,84569,422,36
89,328707,114645,92321,461,38
90,314637,120526,100510,502,40
91,300478,126076,109119,545,43
92,286333,131215,118124,590,45
93,272306,135870,127497,637,46
94,258492,139979,137202,686,48
95,244982,143490,147201,736,49
96,231857,146365,157450,787,51
97,219187,148581,167905,839,52
98,207027,150127,178518,892,53
99,195423,151008,189241,946,53
100,184405,151240,200028,1000,53
101,173992,150850,210831,1054,54
102,164192,149875,221606,1108,53
103,155004,148357,232311,1161,53
104,146418,146346,242908,1214,52
105,138418,143893,253362,1266,52
