day,susceptible,infected,recovered,chilam,chilamPerDay
0,1843353,5,0,0,0
1,1843352,5,0,0,0
2,1843350,6,0,0,0
3,1843349,7,1,0,0
4,1843348,8,1,0,0
5,1843346,9,2,0,0
6,1843344,10,2,0,0
7,1843342,11,3,0,0
8,1843340,13,4,0,0
9,1843337,14,5,0,0
10,1843334,16,6,0,0
11,1843331,18,7,0,0
12,1843327,21,9,0,0
13,1843323,24,10,0,0
14,1843318,27,12,0,0
15,1843313,30,14,0,0
16,1843306,34,16,0,0
17,1843299,39,18,0,0
18,1843292,44,21,0,0
19,1843283,49,24,0,0
20,1843273,56,28,0,0
21,1843262,63,32,0,0
22,1843249,71,36,0,0
23,1843235,80,42,0,0
24,1843219,91,47,0,0
25,1843200,102,54,0,0
26,1843180,116,61,0,0
27,1843157,130,69,0,0
28,1843130,147,79,0,0
29,1843101,166,89,0,0
30,1843067,188,101,0,0
31,1843030,212,115,0,0
32,1842987,239,130,0,0
33,1842939,270,147,0,0
34,1842885,305,166,0,0
35,1842824,344,188,0,0
36,1842755,388,213,1,0
37,1842678,438,241,1,0
38,1842590,495,272,1,0
39,1842491,558,307,1,0
40,1842379,630,347,1,0
41,1842253,711,392,1,0
42,1842111,803,443,2,0
43,1841950,906,501,2,0
44,1841769,1022,565,2,0
45,1841565,1153,638,3,0
46,1841334,1302,721,3,0
47,1841074,1469,814,4,0
48,1840781,1657,919,4,0
49,1840449,1870,1037,5,0
50,1840076,2110,1171,5,0
51,1839655,2380,1321,6,0
52,1839179,2686,1492,7,0
53,1838643,3030,1683,8,0
54,1838039,3418,1900,9,1
55,1837357,3855,2144,10,1
56,1836588,4349,2419,12,1
57,1835722,4905,2730,13,1
58,1834745,5531,3080,15,1
59,1833644,6237,3476,17,1
60,1832403,7033,3921,19,2
61,1831004,7929,4423,22,2
62,1829429,8937,4990,24,2
63,1827655,10073,5628,28,3
64,1825658,11351,6348,31,3
65,1823409,12789,7159,35,4
66,1820879,14405,8072,40,4
67,1818033,16222,9101,45,5
68,1814833,18264,10260,51,5
69,1811237,20555,11565,57,6
70,1807197,23127,13033,65,7
71,1802662,26009,14685,73,8
72,1797575,29239,16543,82,9
73,1791872,32853,18631,93,10
74,1785485,36893,20978,104,11
