day,susceptible,infected,recovered,chilam,chilamPerDay
0,9037275,5,0,0,0
1,9037274,5,0,0,0
2,9037272,6,0,0,0
3,9037271,7,1,0,0
4,9037270,8,1,0,0
5,9037268,9,2,0,0
6,9037266,10,2,0,0
7,9037264,11,3,0,0
8,9037262,13,4,0,0
9,9037259,14,5,0,0
10,9037256,16,6,0,0
11,9037253,18,7,0,0
12,9037249,21,9,0,0
13,9037245,24,10,0,0
14,9037240,27,12,0,0
15,9037235,30,14,0,0
16,9037228,34,16,0,0
17,9037221,39,18,0,0
18,9037214,44,21,0,0
19,9037205,49,24,0,0
20,9037195,56,28,0,0
21,9037184,63,32,0,0
22,9037171,71,36,0,0
23,9037157,80,42,0,0
24,9037141,91,47,0,0
25,9037122,102,54,0,0
26,9037102,116,61,0,0
27,9037079,130,69,0,0
28,9037052,147,79,0,0
29,9037023,166,89,0,0
30,9036989,188,101,0,0
31,9036952,212,115,0,0
32,9036909,239,130,0,0
33,9036861,270,147,0,0
34,9036807,305,166,0,0
35,9036746,344,188,0,0
36,9036677,389,213,1,0
37,9036599,439,241,1,0
38,9036512,495,272,1,0
39,9036412,559,307,1,0
40,9036301,631,347,1,0
41,9036174,712,392,1,0
42,9036032,803,443,2,0
43,9035871,907,501,2,0
44,9035690,1023,565,2,0
45,9035485,1155,639,3,0
46,9035254,1303,721,3,0
47,9034994,1471,814,4,0
48,9034699,1660,919,4,0
49,9034367,1873,1038,5,0
50,9033993,2114,1172,5,0
51,9033570,2386,1323,6,0
52,9033093,2692,1493,7,0
53,9032555,3038,1686,8,0
54,9031947,3429,1903,9,1
55,9031262,3869,2148,10,1
56,9030488,4366,2424,12,1
57,9029616,4927,2736,13,1
58,9028631,5560,3088,15,1
59,9027520,6273,3485,17,1
60,9026267,7079,3933,19,2
61,9024853,7987,4439,22,2
62,9023257,9012,5009,25,2
63,9021458,10168,5653,28,3
64,9019428,11472,6379,31,3
65,9017138,12942,7199,35,4
66,9014555,14600,8123,40,4
67,9011642,16470,9166,45,5
68,9008358,18578,10343,51,5
69,9004654,20955,11670,58,6
70,9000478,23634,13167,65,7
71,8995770,26654,14855,74,8
72,8990464,30056,16759,83,9
73,8984483,33890,18906,94,10
74,8977745,38207,21326,106,12
75,8970154,43069,24055,120,13
76,8961604,48543,27132,135,15
77,8951976,54703,30599,152,17
78,8941139,61633,34507,172,19
79,8928943,69426,38909,194,22
80,8915224,78186,43868,219,24
81,8899798,88027,49453,247,27
82,8882460,99077,55741,278,31
83,8862984,111476,62818,314,35
84,8841119,125379,70780,353,39
85,8816587,140955,79736,398,44
86,8789085,158389,89805,449,50
87,8758277,177884,101118,505,56
88,8723798,199656,113824,569,63
89,8685252,223941,128086,640,71
90,8642208,250989,144081,720,79
91,8594205,281065,162009,810,89
92,8540748,314445,182086,910,100
93,8481314,351419,204546,1022,112
94,8415354,392277,229648,1148,125
95,8342297,437314,257668,1288,140
96,8261560,486814,288905,1444,156
97,8172555,541047,323677,1618,173
98,8074699,600256,362324,1811,193
