day,susceptible,infected,recovered,chilam,chilamPerDay
0,819921,5,0,0,0
1,819920,5,0,0,0
2,819919,5,0,0,0
3,819919,5,1,0,0
4,819918,5,1,0,0
5,819918,5,1,0,0
6,819917,6,2,0,0
7,819916,6,2,0,0
8,819916,6,3,0,0
9,819915,6,3,0,0
10,819914,6,4,0,0
11,819914,7,4,0,0
12,819913,7,5,0,0
13,819912,7,5,0,0
14,819911,7,6,0,0
15,819910,8,6,0,0
16,819910,8,7,0,0
17,819909,8,8,0,0
18,819908,9,8,0,0
19,819907,9,9,0,0
20,819906,9,9,0,0
21,819905,10,10,0,0
22,819904,10,11,0,0
23,819903,10,12,0,0
24,819902,11,12,0,0
25,819900,11,13,0,0
26,819899,11,14,0,0
27,819898,12,15,0,0
28,819897,12,16,0,0
29,819895,13,17,0,0
30,819894,13,18,0,0
31,819893,13,18,0,0
32,819891,14,19,0,0
33,819890,14,20,0,0
34,819888,15,22,0,0
35,819886,15,23,0,0
36,819885,16,24,0,0
37,819883,16,25,0,0
38,819881,17,26,0,0
39,819879,18,27,0,0
40,819878,18,29,0,0
41,819876,19,30,0,0
42,819874,20,31,0,0
43,819871,20,33,0,0
44,819869,21,34,0,0
45,819867,22,36,0,0
46,819865,22,37,0,0
47,819862,23,39,0,0
48,819860,24,41,0,0
49,819857,25,43,0,0
50,819855,26,44,0,0
51,819852,26,46,0,0
52,819849,27,48,0,0
53,819846,28,50,0,0
54,819843,29,52,0,0
55,819840,30,54,0,0
56,819837,31,56,0,0
57,819833,32,59,0,0
58,819830,33,61,0,0
59,819826,35,63,0,0
60,819823,36,66,0,0
61,819819,37,69,0,0
62,819815,38,71,0,0
63,819811,40,74,0,0
64,819807,41,77,0,0
65,819802,42,80,0,0
66,819798,44,83,0,0
67,819793,45,86,0,0
68,819788,47,89,0,0
69,819784,48,93,0,0
70,819778,50,96,0,0
71,819773,52,100,0,0
72,819768,53,103,0,0
73,819762,55,107,0,0
74,819756,57,111,0,0
75,819750,59,115,0,0
76,819744,61,120,0,0
77,819737,63,124,0,0
78,819731,65,129,0,0
79,819724,67,133,0,0
80,819717,70,138,0,0
81,819709,72,143,0,0
82,819702,74,148,0,0
83,819694,77,154,0,0
84,819686,80,159,0,0
85,819677,82,165,0,0
86,819669,85,171,0,0
87,819660,88,177,0,0
88,819650,91,183,0,0
89,819641,94,190,0,0
90,819631,97,197,0,0
91,819621,100,203,1,0
92,819610,104,211,1,0
93,819599,107,218,1,0
94,819588,111,226,1,0
95,819576,115,234,1,0
96,819564,118,242,1,0
97,819552,122,250,1,0
98,819539,126,259,1,0
99,819525,131,268,1,0
100,819512,135,278,1,0
101,819497,140,287,1,0
102,819483,144,297,1,0
103,819467,149,308,1,0
104,819452,154,318,1,0
105,819436,159,330,1,0
106,819419,165,341,1,0
107,819401,170,353,1,0
108,819383,176,365,1,0
109,819365,182,378,1,0
110,819346,188,391,1,0
111,819326,194,404,2,0
112,819306,201,418,2,0
113,819284,208,432,2,0
114,819263,215,447,2,0
115,819240,222,463,2,0
116,819217,229,479,2,0
117,819193,237,495,2,0
118,819168,245,512,2,0
119,819142,253,529,2,0
120,819115,262,548,2,0
121,819088,270,566,2,0
122,819059,280,586,2,0
123,819030,289,606,3,0
124,819000,299,626,3,0
125,818968,309,648,3,0
126,818936,319,670,3,0
127,818902,330,693,3,0
128,818868,341,716,3,0
129,818832,352,741,3,0
130,818795,364,766,3,0
131,818757,376,792,3,0
132,818717,389,819,4,0
133,818676,402,846,4,0
134,818634,415,875,4,0
135,818591,429,905,4,0
136,818546,443,935,4,0
137,818499,458,967,4,0
138,818451,473,1000,5,0
139,818401,489,1034,5,0
140,818350,506,1069,5,0
141,818297,522,1105,5,0
142,818242,540,1142,5,0
143,818186,558,1181,5,0
144,818127,577,1221,6,0
145,818067,596,1262,6,0
146,818004,616,1305,6,0
147,817940,636,1349,6,0
148,817873,657,1394,6,0
149,817804,679,1441,7,0
150,817733,702,1490,7,0
151,817659,725,1540,7,0
152,817583,750,1592,7,0
153,817505,774,1645,8,0
154,817424,800,1701,8,0
155,817340,827,1758,8,0
156,817253,854,1817,9,0
157,817164,883,1878,9,0
158,817071,912,1941,9,0
159,816976,942,2006,10,0
160,816877,974,2074,10,0
161,816775,1006,2143,10,0
162,816670,1039,2215,11,0
163,816561,1074,2289,11,0
164,816449,1110,2366,11,0
165,816333,1146,2445,12,0
166,816213,1184,2527,12,0
167,816089,1223,2612,13,0
168,815961,1264,2699,13,0
169,815829,1306,2790,13,0
170,815693,1349,2883,14,0
171,815552,1393,2979,14,0
172,815406,1440,3079,15,0
173,815256,1487,3182,15,0
174,815100,1536,3288,16,0
175,814940,1587,3398,16,0
176,814774,1639,3511,17,0
177,814603,1693,3628,18,0
178,814427,1749,3749,18,0
179,814244,1806,3874,19,0
180,814056,1865,4003,20,0
181,813861,1927,4136,20,0
182,813660,1990,4274,21,0
183,813453,2055,4416,22,0
184,813239,2122,4563,22,0
185,813018,2192,4715,23,0
186,812790,2264,4871,24,0
187,812554,2337,5033,25,0
188,812311,2414,5200,26,0
189,812059,2492,5373,26,0
190,811800,2574,5551,27,0
191,811533,2657,5734,28,0
192,811256,2744,5924,29,0
193,810971,2833,6120,30,0
194,810677,2925,6323,31,1
195,810373,3019,6532,32,1
196,810060,3117,6747,33,1
197,809737,3218,6970,34,1
198,809403,3322,7200,36,1
199,809058,3429,7437,37,1
200,808703,3539,7682,38,1
201,808337,3653,7935,39,1
202,807958,3770,8196,40,1
203,807568,3891,8465,42,1
204,807166,4015,8743,43,1
205,806751,4144,9030,45,1
206,806323,4276,9326,46,1
207,805881,4412,9632,48,1
208,805426,4552,9947,49,1
209,804956,4696,10272,51,1
210,804472,4845,10607,53,1
211,803973,4998,10954,54,1
212,803458,5156,11311,56,1
213,802927,5318,11679,58,1
214,802381,5485,12059,60,1
215,801817,5657,12451,62,1
216,801236,5834,12855,64,2
217,800637,6016,13272,66,2
218,800021,6203,13701,68,2
219,799385,6395,14144,70,2
220,798730,6593,14601,73,2
221,798056,6796,15072,75,2
222,797361,7006,15558,77,2
223,796646,7221,16058,80,2
224,795909,7442,16574,82,2
225,795151,7668,17105,85,2
226,794370,7902,17653,88,2
227,793566,8141,18218,91,2
228,792738,8387,18799,93,2
229,791887,8639,19398,96,2
230,791011,8898,20015,100,3
231,790109,9164,20651,103,3
232,789182,9437,21306,106,3
233,788228,9716,21980,109,3
234,787247,10003,22674,113,3
235,786239,10297,23388,116,3
236,785202,10598,24124,120,3
237,784136,10907,24881,124,3
238,783041,11223,25660,128,3
239,781916,11547,26462,132,4
240,780759,11879,27287,136,4
241,779572,12218,28135,140,4
242,778352,12565,29008,145,4
243,777099,12920,29905,149,4
244,775814,13283,30828,154,4
245,774494,13654,31777,158,4
246,773140,14032,32752,163,4
247,771750,14420,33755,168,5
248,770325,14815,34785,173,5
249,768864,15218,35843,179,5
250,767365,15629,36930,184,5
251,765829,16049,38046,190,5
252,764255,16476,39193,195,5
253,762643,16912,40370,201,5
254,760991,17356,41578,207,6
255,759299,17808,42818,214,6
256,757568,18267,44090,220,6
257,755796,18735,45394,226,6
258,753982,19210,46733,233,6
259,752127,19692,48105,240,6
260,750231,20182,49511,247,7
261,748291,20680,50953,254,7
262,746310,21184,52430,262,7
263,744285,21696,53944,269,7
264,742217,22214,55493,277,7
265,740106,22739,57080,285,7
266,737950,23270,58704,293,8
267,735751,23807,60366,301,8
268,733508,24349,62067,310,8
269,731221,24897,63806,319,8
270,728889,25450,65585,327,8
271,726514,26008,67403,337,9
272,724094,26570,69260,346,9
273,721630,27136,71158,355,9
274,719122,27706,73097,365,9
275,716571,28278,75076,375,9
276,713976,28853,77096,385,10
277,711338,29430,79157,395,10
278,708657,30009,81259,406,10
279,705933,30589,83402,417,10
280,703168,31169,85587,427,10
281,700361,31750,87814,439,11
282,697513,32329,90082,450,11
283,694626,32908,92391,461,11
284,691698,33485,94742,473,11
285,688732,34059,97133,485,11
286,685728,34630,99566,497,12
287,682687,35198,102040,510,12
288,679610,35761,104554,522,12
289,676497,36319,107108,535,12
290,673351,36871,109703,548,12
291,670172,37417,112336,561,13
292,666960,37955,115009,575,13
293,663719,38486,117720,588,13
294,660447,39008,120469,602,13
295,657148,39521,123255,616,13
296,653822,40024,126078,630,14
297,650471,40516,128937,644,14
298,647096,40997,131831,659,14
299,643698,41466,134760,673,14
300,640280,41922,137722,688,14
301,636843,42365,140716,703,14
302,633388,42794,143742,718,15
303,629916,43209,146799,733,15
304,626431,43608,149886,749,15
305,622932,43991,153001,765,15
306,619423,44359,156143,780,15
307,615904,44709,159311,796,15
308,612378,45042,162505,812,15
309,608846,45357,165722,828,16
310,605309,45653,168962,844,16
311,601770,45931,172223,861,16
312,598231,46190,175504,877,16
313,594692,46429,178803,894,16
314,591156,46649,182120,910,16
315,587625,46848,185452,927,16
316,584099,47027,188798,943,16
317,580581,47186,192157,960,16
318,577073,47324,195528,977,16
319,573576,47441,198908,994,16
320,570091,47537,202297,1011,16
321,566621,47612,205692,1028,16
322,563166,47666,209093,1045,17
323,559728,47699,212498,1062,17
324,556309,47710,215905,1079,17
325,552910,47702,219313,1096,17
326,549532,47672,222720,1113,17
327,546178,47621,226125,1130,17
328,542847,47551,229527,1147,17
329,539541,47460,232924,1164,16
330,536262,47349,236314,1181,16
331,533010,47219,239696,1198,16
332,529787,47069,243069,1215,16
333,526594,46900,246431,1232,16
334,523431,46713,249781,1248,16
335,520300,46508,253117,1265,16
336,517201,46284,256439,1282,16
337,514135,46044,259746,1298,16
338,511104,45787,263034,1315,16
339,508107,45513,266305,1331,16
340,505145,45223,269556,1347,16
341,502220,44919,272786,1363,16
342,499331,44599,275995,1379,16
343,496479,44265,279180,1395,15
344,493664,43918,282342,1411,15
345,490888,43557,285479,1427,15
346,488150,43184,288591,1442,15
347,485450,42799,291675,1458,15
348,482789,42403,294732,1473,15
349,480168,41996,297761,1488,15
350,477585,41578,300761,1503,14
351,475042,41151,303731,1518,14
352,472539,40715,306670,1533,14
353,470075,40271,309579,1547,14
354,467651,39819,312455,1562,14
355,465266,39359,315299,1576,14
356,462921,38893,318111,1590,14
357,460615,38420,320889,1604,13
358,458349,37942,323633,1618,13
359,456122,37459,326344,1631,13
360,453934,36972,329019,1645,13
361,451784,36480,331660,1658,13
362,449674,35985,334266,1671,13
363,447602,35487,336836,1684,12
364,445568,34986,339371,1696,12
365,443571,34483,341870,1709,12
366,441612,33979,344333,1721,12
367,439691,33473,346760,1733,12
368,437806,32967,349151,1745,11
369,435958,32461,351506,1757,11
370,434145,31954,353825,1769,11
371,432369,31448,356107,1780,11
372,430627,30943,358354,1791,11
373,428921,30440,360564,1802,11
374,427249,29937,362738,1813,10
375,425611,29437,364877,1824,10
376,424006,28939,366979,1834,10
377,422435,28443,369047,1845,10
378,420896,27950,371078,1855,10
379,419390,27460,373075,1865,9
380,417915,26973,375036,1875,9
381,416471,26490,376963,1884,9
382,415058,26011,378855,1894,9
383,413676,25536,380713,1903,9
384,412323,25064,382537,1912,9
385,411000,24597,384327,1921,8
386,409705,24135,386084,1930,8
387,408439,23677,387808,1939,8
388,407200,23225,389500,1947,8
389,405989,22777,391159,1955,8
390,404805,22334,392786,1963,8
391,403647,21897,394381,1971,7
392,402515,21464,395945,1979,7
393,401409,21038,397478,1987,7
394,400327,20616,398981,1994,7
395,399270,20201,400454,2002,7
396,398237,19791,401897,2009,7
397,397228,19386,403310,2016,7
398,396242,18988,404695,2023,6
399,395278,18595,406051,2030,6
400,394337,18208,407380,2036,6
401,393417,17827,408680,2043,6
402,392519,17452,409954,2049,6
403,391642,17082,411200,2056,6
404,390785,16719,412420,2062,6
405,389949,16361,413615,2068,5
406,389131,16010,414783,2073,5
407,388334,15664,415927,2079,5
408,387555,15324,417046,2085,5
409,386794,14990,418140,2090,5
410,386052,14662,419211,2096,5
411,385327,14339,420259,2101,5
412,384619,14023,421283,2106,5
413,383928,13712,422284,2111,5
414,383254,13406,423264,2116,4
415,382596,13107,424222,2121,4
416,381954,12813,425158,2125,4
417,381327,12524,426073,2130,4
418,380716,12241,426968,2134,4
419,380119,11964,427842,2139,4
420,379536,11691,428697,2143,4
421,378968,11425,429532,2147,4
422,378414,11163,430348,2151,4
423,377873,10907,431145,2155,3
424,377345,10655,431924,2159,3
425,376830,10409,432685,2163,3
426,376328,10168,433429,2167,3
427,375838,9932,434155,2170,3
428,375360,9700,434865,2174,3
429,374893,9474,435558,2177,3
430,374438,9252,436234,2181,3
431,373995,9034,436895,2184,3
432,373562,8822,437541,2187,3
433,373140,8614,438171,2190,3
434,372728,8410,438786,2193,3
435,372327,8211,439387,2196,3
436,371935,8016,439973,2199,2
437,371554,7825,440546,2202,2
438,371181,7638,441105,2205,2
439,370818,7456,441651,2208,2
440,370464,7277,442183,2210,2
441,370119,7103,442703,2213,2
442,369782,6932,443210,2216,2
443,369454,6765,443706,2218,2
444,369134,6602,444189,2220,2
445,368822,6442,444660,2223,2
446,368517,6287,445121,2225,2
447,368221,6134,445570,2227,2
448,367931,5985,446008,2230,2
449,367649,5840,446436,2232,2
450,367374,5698,446853,2234,2
451,367106,5559,447260,2236,2
452,366845,5423,447657,2238,1
453,366590,5290,448044,2240,1
454,366342,5161,448422,2242,1
455,366100,5034,448791,2243,1
456,365863,4911,449150,2245,1
457,365633,4790,449501,2247,1
458,365409,4672,449843,2249,1
459,365190,4557,450177,2250,1
460,364977,4445,450503,2252,1
461,364770,4335,450820,2254,1
462,364567,4228,451130,2255,1
463,364370,4123,451432,2257,1
464,364177,4021,451726,2258,1
465,363990,3921,452014,2260,1
466,363807,3824,452294,2261,1
467,363629,3729,452567,2262,1
468,363455,3636,452833,2264,1
469,363286,3546,453093,2265,1
470,363121,3457,453346,2266,1
471,362960,3371,453593,2267,1
472,362803,3287,453834,2269,1
473,362650,3205,454069,2270,1
474,362502,3125,454298,2271,1
475,362357,3047,454521,2272,1
476,362215,2970,454739,2273,1
477,362077,2896,454951,2274,1
478,361943,2823,455158,2275,1
479,361812,2753,455360,2276,1
480,361685,2684,455556,2277,0
481,361560,2616,455748,2278,0
482,361439,2550,455935,2279,0
483,361321,2486,456117,2280,0
484,361206,2424,456295,2281,0
485,361094,2363,456468,2282,0
486,360985,2303,456637,2283,0
487,360878,2245,456801,2284,0
488,360774,2188,456962,2284,0
489,360673,2133,457118,2285,0
490,360575,2079,457271,2286,0
491,360479,2027,457419,2287,0
492,360385,1976,457564,2287,0
493,360294,1926,457705,2288,0
494,360205,1877,457843,2289,0
495,360118,1829,457977,2289,0
496,360034,1783,458107,2290,0
497,359952,1738,458235,2291,0
498,359871,1694,458359,2291,0
499,359793,1651,458480,2292,0
500,359717,1609,458598,2292,0
501,359643,1568,458713,2293,0
502,359571,1529,458825,2294,0
503,359500,1490,458934,2294,0
504,359432,1452,459041,2295,0
505,359365,1415,459145,2295,0
506,359300,1379,459246,2296,0
507,359236,1344,459344,2296,0
508,359175,1310,459440,2297,0
509,359114,1276,459534,2297,0
510,359056,1244,459625,2298,0
511,358998,1212,459714,2298,0
512,358943,1181,459801,2299,0
513,358888,1151,459885,2299,0
514,358835,1122,459967,2299,0
515,358784,1093,460047,2300,0
516,358733,1066,460126,2300,0
517,358684,1038,460202,2301,0
518,358637,1012,460276,2301,0
519,358590,986,460348,2301,0
520,358545,961,460419,2302,0
521,358501,936,460487,2302,0
522,358458,912,460554,2302,0
523,358416,889,460619,2303,0
524,358375,866,460683,2303,0
525,358335,844,460745,2303,0
526,358297,823,460805,2304,0
527,358259,802,460864,2304,0
528,358222,781,460921,2304,0
529,358186,761,460977,2304,0
530,358151,742,461032,2305,0
531,358117,723,461085,2305,0
532,358084,704,461136,2305,0
533,358052,686,461187,2305,0
534,358020,669,461236,2306,0
535,357989,652,461283,2306,0
536,357960,635,461330,2306,0
537,357930,619,461375,2306,0
538,357902,603,461420,2307,0
539,357874,587,461463,2307,0
540,357847,572,461505,2307,0
541,357821,558,461546,2307,0
542,357796,543,461586,2307,0
543,357771,529,461624,2308,0
544,357746,516,461662,2308,0
545,357723,503,461699,2308,0
546,357700,490,461735,2308,0
547,357677,477,461770,2308,0
548,357655,465,461804,2309,0
549,357634,453,461837,2309,0
550,357613,441,461870,2309,0
551,357593,430,461901,2309,0
552,357573,419,461932,2309,0
553,357554,408,461962,2309,0
554,357535,398,461991,2309,0
555,357517,388,462020,2310,0
556,357499,378,462047,2310,0
557,357482,368,462074,2310,0
558,357465,358,462101,2310,0
559,357449,349,462126,2310,0
560,357433,340,462151,2310,0
561,357417,332,462176,2310,0
562,357402,323,462199,2310,0
563,357387,315,462223,2311,0
564,357373,307,462245,2311,0
565,357359,299,462267,2311,0
566,357345,291,462288,2311,0
567,357332,284,462309,2311,0
568,357319,276,462330,2311,0
569,357306,269,462349,2311,0
570,357294,262,462369,2311,0
571,357282,256,462387,2311,0
572,357270,249,462406,2312,0
573,357259,243,462423,2312,0
574,357247,236,462441,2312,0
575,357237,230,462458,2312,0
576,357226,224,462474,2312,0
577,357216,219,462490,2312,0
578,357206,213,462506,2312,0
579,357196,207,462521,2312,0
580,357186,202,462536,2312,0
581,357177,197,462550,2312,0
582,357168,192,462565,2312,0
583,357159,187,462578,2312,0
584,357151,182,462592,2312,0
585,357142,177,462605,2313,0
586,357134,173,462617,2313,0
587,357126,168,462630,2313,0
588,357119,164,462642,2313,0
589,357111,160,462654,2313,0
590,357104,156,462665,2313,0
591,357097,152,462676,2313,0
592,357090,148,462687,2313,0
593,357083,144,462698,2313,0
594,357076,140,462708,2313,0
595,357070,137,462718,2313,0
596,357064,133,462728,2313,0
597,357058,130,462737,2313,0
598,357052,126,462747,2313,0
599,357046,123,462756,2313,0
600,357040,120,462765,2313,0
