day,susceptible,infected,recovered,chilam,chilamPerDay,symptomatic,percentOfTotalInfected
0,1375534,5,0,0,0,2.5,4.440095913175878e-05
1,1375586,5,0,0,0,2.5,4.440095913175878e-05
2,1375638,5,0,0,0,2.5,4.440095913175878e-05
3,1375690,5,1,0,0,2.5,4.440095913175878e-05
4,1375742,5,1,0,0,2.5,4.440095913175878e-05
5,1375795,5,1,0,0,2.5,4.440095913175878e-05
6,1375847,6,2,0,0,3.0,5.328115095811054e-05
7,1375899,6,2,0,0,3.0,5.328115095811054e-05
8,1375951,6,3,0,0,3.0,5.328115095811054e-05
9,1376003,6,3,0,0,3.0,5.328115095811054e-05
10,1376055,6,4,0,0,3.0,5.328115095811054e-05
11,1376107,7,4,0,0,3.5,6.216134278446229e-05
12,1376159,7,5,0,0,3.5,6.216134278446229e-05
13,1376211,7,5,0,0,3.5,6.216134278446229e-05
14,1376263,7,6,0,0,3.5,6.216134278446229e-05
15,1376315,8,6,0,0,4.0,7.104153461081405e-05
16,1376367,8,7,0,0,4.0,7.104153461081405e-05
17,1376419,8,8,0,0,4.0,7.104153461081405e-05
18,1376471,9,8,0,0,4.5,7.99217264371658e-05
19,1376523,9,9,0,0,4.5,7.99217264371658e-05
20,1376574,9,9,0,0,4.5,7.99217264371658e-05
21,1376626,10,10,0,0,5.0,8.880191826351756e-05
22,1376678,10,11,0,0,5.0,8.880191826351756e-05
23,1376730,10,12,0,0,5.0,8.880191826351756e-05
24,1376781,11,12,0,0,5.5,9.768211008986933e-05
25,1376833,11,13,0,0,5.5,9.768211008986933e-05
26,1376885,11,14,0,0,5.5,9.768211008986933e-05
27,1376936,12,15,0,0,6.0,0.00010656230191622108
28,1376988,12,16,0,0,6.0,0.00010656230191622108
29,1377039,13,17,0,0,6.5,0.00011544249374257284
30,1377091,13,18,0,0,6.5,0.00011544249374257284
31,1377142,13,18,0,0,6.5,0.00011544249374257284
32,1377193,14,19,0,0,7.0,0.00012432268556892458
33,1377245,14,21,0,0,7.0,0.00012432268556892458
34,1377296,15,22,0,0,7.5,0.00013320287739527635
35,1377347,15,23,0,0,7.5,0.00013320287739527635
36,1377398,16,24,0,0,8.0,0.0001420830692216281
37,1377449,17,25,0,0,8.5,0.00015096326104797983
38,1377501,17,26,0,0,8.5,0.00015096326104797983
39,1377551,18,27,0,0,9.0,0.0001598434528743316
40,1377602,18,29,0,0,9.0,0.0001598434528743316
41,1377653,19,30,0,0,9.5,0.00016872364470068337
42,1377704,20,31,0,0,10.0,0.00017760383652703511
43,1377755,20,33,0,0,10.0,0.00017760383652703511
44,1377805,21,34,0,0,10.5,0.00018648402835338688
45,1377856,22,36,0,0,11.0,0.00019536422017973865
46,1377907,22,38,0,0,11.0,0.00019536422017973865
47,1377957,23,39,0,0,11.5,0.0002042444120060904
48,1378007,24,41,0,0,12.0,0.00021312460383244217
49,1378058,25,43,0,0,12.5,0.00022200479565879388
50,1378108,26,44,0,0,13.0,0.00023088498748514568
51,1378158,27,46,0,0,13.5,0.0002397651793114974
52,1378208,27,48,0,0,13.5,0.0002397651793114974
53,1378258,28,50,0,0,14.0,0.00024864537113784916
54,1378308,29,52,0,0,14.5,0.0002575255629642009
55,1378357,30,54,0,0,15.0,0.0002664057547905527
56,1378407,31,57,0,0,15.5,0.00027528594661690444
57,1378457,33,59,0,0,16.5,0.000293046330269608
58,1378506,34,61,0,0,17.0,0.00030192652209595967
59,1378555,35,64,0,0,17.5,0.00031080671392231146
60,1378604,36,66,0,0,18.0,0.0003196869057486632
61,1378653,37,69,0,0,18.5,0.00032856709757501495
62,1378702,39,72,0,0,19.5,0.0003463274812277185
63,1378751,40,74,0,0,20.0,0.00035520767305407023
64,1378800,41,77,0,0,20.5,0.00036408786488042197
65,1378848,43,80,0,0,21.5,0.0003818482485331255
66,1378897,44,83,0,0,22.0,0.0003907284403594773
67,1378945,46,86,0,0,23.0,0.0004084888240121808
68,1378993,47,90,0,0,23.5,0.00041736901583853253
69,1379041,49,93,0,0,24.5,0.00043512939949123607
70,1379088,50,97,0,0,25.0,0.00044400959131758776
71,1379136,52,100,0,0,26.0,0.00046176997497029135
72,1379183,54,104,0,0,27.0,0.0004795303586229948
73,1379230,56,108,0,0,28.0,0.0004972907422756983
74,1379277,58,112,0,0,29.0,0.0005150511259284018
75,1379324,60,116,0,0,30.0,0.0005328115095811054
76,1379371,62,120,0,0,31.0,0.0005505718932338089
77,1379417,64,125,0,0,32.0,0.0005683322768865124
78,1379463,66,129,0,0,33.0,0.000586092660539216
79,1379509,68,134,0,0,34.0,0.0006038530441919193
80,1379555,71,139,0,0,35.5,0.0006304936196709747
81,1379600,73,144,0,0,36.5,0.0006482540033236783
82,1379646,75,149,0,0,37.5,0.0006660143869763816
83,1379690,78,155,0,0,39.0,0.000692654962455437
84,1379735,81,160,0,0,40.5,0.0007192955379344922
85,1379779,83,166,0,0,41.5,0.0007370559215871958
86,1379824,86,172,0,0,43.0,0.000763696497066251
87,1379867,89,178,0,0,44.5,0.0007903370725453062
88,1379911,92,185,0,0,46.0,0.0008169776480243616
89,1379954,95,191,0,0,47.5,0.0008436182235034168
90,1379997,99,198,0,0,49.5,0.0008791389908088239
91,1380039,102,205,1,0,51.0,0.0009057795662878792
92,1380081,105,213,1,0,52.5,0.0009324201417669343
93,1380123,109,220,1,0,54.5,0.0009679409090723414
94,1380165,113,228,1,0,56.5,0.0010034616763777485
95,1380206,117,236,1,0,58.5,0.0010389824436831555
96,1380246,121,245,1,0,60.5,0.0010745032109885626
97,1380286,125,253,1,0,62.5,0.0011100239782939694
98,1380326,129,262,1,0,64.5,0.0011455447455993766
99,1380365,133,271,1,0,66.5,0.0011810655129047836
100,1380404,138,281,1,0,69.0,0.0012254664720365424
101,1380443,143,291,1,0,71.5,0.0012698674311683012
102,1380481,147,301,1,0,73.5,0.0013053881984737082
103,1380518,152,312,1,0,76.0,0.001349789157605467
104,1380555,158,323,1,0,79.0,0.0014030703085635774
105,1380591,163,334,1,0,81.5,0.0014474712676953363
106,1380627,169,346,1,0,84.5,0.001500752418653447
107,1380662,174,358,1,0,87.0,0.0015451533777852055
108,1380696,180,370,1,0,90.0,0.0015984345287433162
109,1380730,186,383,1,0,93.0,0.0016517156797014267
110,1380764,193,396,1,0,96.5,0.001713877022485889
111,1380796,199,410,2,0,99.5,0.0017671581734439994
112,1380828,206,424,2,0,103.0,0.0018293195162284617
113,1380859,213,439,2,0,106.5,0.001891480859012924
114,1380890,220,454,2,0,110.0,0.0019536422017973863
115,1380919,228,470,2,0,114.0,0.0020246837364082003
116,1380948,236,487,2,0,118.0,0.0020957252710190146
117,1380976,244,503,2,0,122.0,0.0021667668056298286
118,1381004,252,521,2,0,126.0,0.0022378083402406425
119,1381030,261,539,2,0,130.5,0.0023177300666778083
120,1381055,269,557,2,0,134.5,0.0023887716012886222
121,1381080,279,577,2,0,139.5,0.0024775735195521403
122,1381103,288,597,2,0,144.0,0.0025574952459893057
123,1381126,298,617,3,0,149.0,0.0026462971642528233
124,1381148,308,639,3,0,154.0,0.002735099082516341
125,1381168,319,661,3,0,159.5,0.00283278119260621
126,1381187,329,683,3,0,164.5,0.002921583110869728
127,1381206,341,707,3,0,170.5,0.0030281454127859485
128,1381223,352,731,3,0,176.0,0.0031258275228758185
129,1381238,364,757,3,0,182.0,0.003232389824792039
130,1381253,377,783,3,0,188.5,0.003347832318534612
131,1381266,389,810,4,0,194.5,0.003454394620450833
132,1381278,403,837,4,0,201.5,0.0035787173060197576
133,1381288,416,866,4,0,208.0,0.003694159799762331
134,1381297,431,896,4,0,215.5,0.0038273626771576073
