day,susceptible,infected,recovered,chilam,chilamPerDay,symptomatic,percentOfTotalInfected
0,458511,5,0,0,0,2.5,8.343174107192767e-05
1,458527,5,0,0,0,2.5,8.343174107192767e-05
2,458544,6,0,0,0,3.0,0.00010011808928631321
3,458560,7,1,0,0,3.5,0.00011680443750069874
4,458576,8,1,0,0,4.0,0.00013349078571508427
5,458592,9,2,0,0,4.5,0.00015017713392946982
6,458608,10,2,0,0,5.0,0.00016686348214385534
7,458623,11,3,0,0,5.5,0.00018354983035824088
8,458639,13,4,0,0,6.5,0.00021692252678701194
9,458653,14,5,0,0,7.0,0.00023360887500139749
10,458668,16,6,0,0,8.0,0.00026698157143016855
11,458682,18,7,0,0,9.0,0.00030035426785893964
12,458696,21,9,0,0,10.5,0.00035041331250209624
13,458709,24,10,0,0,12.0,0.00040047235714525285
14,458722,27,12,0,0,13.5,0.0004505314017884094
15,458734,30,14,0,0,15.0,0.0005005904464315661
16,458746,34,16,0,0,17.0,0.0005673358392891081
17,458756,39,18,0,0,19.5,0.0006507675803610358
18,458766,44,21,0,0,22.0,0.0007341993214329635
19,458775,49,24,0,0,24.5,0.0008176310625048912
20,458783,56,28,0,0,28.0,0.0009344355000055899
21,458789,63,32,0,0,31.5,0.0010512399375062888
22,458794,71,36,0,0,35.5,0.001184730723221373
23,458797,80,42,0,0,40.0,0.0013349078571508427
24,458799,91,47,0,0,45.5,0.0015184576875090837
25,458798,103,54,0,0,51.5,0.0017186938660817101
26,458795,116,61,0,0,58.0,0.001935616392868722
27,458789,131,70,0,0,65.5,0.002185911616084505
28,458781,148,79,0,0,74.0,0.002469579535729059
29,458768,167,90,0,0,83.5,0.002786620151802384
30,458753,188,101,0,0,94.0,0.0031370334643044807
31,458732,212,115,0,0,106.0,0.0035375058214497336
32,458707,240,130,0,0,120.0,0.0040047235714525285
33,458677,271,147,0,0,135.5,0.00452200036609848
34,458640,306,167,0,0,153.0,0.005106022553601973
35,458597,345,189,0,0,172.5,0.005756790133963009
36,458545,390,213,1,0,195.0,0.006507675803610359
37,458485,440,241,1,0,220.0,0.007341993214329635
38,458414,496,273,1,0,248.0,0.008276428714335225
39,458332,560,308,1,0,280.0,0.009344355000055898
40,458238,632,348,1,0,316.0,0.010545772071491658
41,458129,713,393,1,0,356.5,0.011897366276856886
42,458004,805,444,2,0,402.5,0.013432510312580356
43,457860,909,502,2,0,454.5,0.01516789052687645
44,457696,1025,567,2,0,512.5,0.01710350691974517
45,457509,1157,640,3,0,578.5,0.019306104884044065
46,457296,1305,723,3,0,652.5,0.021775684419773123
47,457053,1472,816,4,0,736.0,0.024562304571575506
48,456777,1661,921,4,0,830.5,0.027716024384094373
49,456463,1873,1040,5,0,936.5,0.031253530205544104
50,456108,2112,1174,5,0,1056.0,0.03524156742878225
51,455705,2381,1325,6,0,1190.5,0.03973019509845196
52,455249,2685,1495,7,0,1342.5,0.04480284495562516
53,454733,3026,1686,8,0,1513.0,0.05049288969673063
54,454150,3410,1903,9,1,1705.0,0.056900447411054676
55,453492,3842,2146,10,1,1921.0,0.06410894983966922
56,452749,4328,2421,12,1,2164.0,0.0722185150718606
57,451912,4874,2730,13,1,2437.0,0.0813292611969151
58,450968,5486,3078,15,1,2743.0,0.09154130630411904
59,449906,6174,3470,17,1,3087.0,0.1030215138756163
60,448712,6945,3911,19,2,3472.5,0.11588668834890754
61,447369,7808,4407,22,2,3904.0,0.13028700685792227
62,445863,8774,4965,24,2,4387.0,0.14640601923301869
63,444173,9853,5592,27,3,4926.5,0.16441058895634067
64,442281,11059,6295,31,3,5529.5,0.18453432490288962
65,440165,12402,7085,35,3,6201.0,0.20694409055480942
66,437800,13898,7971,39,4,6949.0,0.23190686748353015
67,435163,15559,8964,44,4,7779.5,0.25962289186762455
68,432226,17401,10075,50,5,8700.5,0.2903591452785227
69,428961,19439,11318,56,6,9719.5,0.3243659229394404
70,425340,21688,12707,63,6,10844.0,0.36189352007359343
71,421333,24162,14256,71,7,12081.0,0.4031755455559833
72,416908,26877,15982,79,8,13438.5,0.44847898095804006
73,412036,29845,17902,89,9,14922.5,0.49800406245833634
74,406687,33078,20034,100,10,16539.0,0.5519510262354447
75,400835,36583,22396,111,11,18291.5,0.610436676726866
76,394454,40366,25010,125,13,20183.0,0.6735611320218865
77,387523,44428,27893,139,14,22214.0,0.7413410784687205
78,380028,48765,31066,155,15,24382.5,0.8137097706745107
79,371959,53365,34550,172,17,26682.5,0.8904669724606841
80,363314,58211,38361,191,19,29105.5,0.9713290159075963
81,354103,63279,42519,212,20,31639.5,1.0558954286581022
82,344342,68533,47039,235,22,34266.5,1.1435655021764837
83,334061,73931,51935,259,24,36965.5,1.2336384098377369
84,323300,79423,57215,286,26,39711.5,1.3252798342311423
85,312112,84951,62888,314,28,42475.5,1.4175219671602655
86,300558,90448,68956,344,30,45224.0,1.509246823294743
87,288711,95845,75417,377,32,47922.5,1.5993030446077816
88,276651,101070,82263,411,34,50535.0,1.6864892140279462
89,264465,106047,89482,447,36,53023.5,1.7695371690909427
90,252241,110705,97057,485,37,55352.5,1.8472621790735506
91,240070,114978,104965,524,39,57489.0,1.91856294499362
92,228038,118806,113178,565,41,59403.0,1.9824382859582879
93,216229,122137,121664,608,42,61068.5,2.038020511860406
94,204717,124933,130388,651,43,62466.5,2.0846755414678277
95,193568,127165,139312,696,44,63582.5,2.1219194706823363
96,182838,128819,148395,741,45,64409.5,2.14951869062893
97,172571,129891,157596,787,46,64945.5,2.1674064559147515
98,162800,130391,166874,834,46,65195.5,2.175749630021944
99,153546,130337,176188,880,46,65168.5,2.1748485672183673
100,144822,129756,185498,927,46,64878.0,2.1651537989058096
101,136631,128685,194766,973,46,64342.5,2.1472827199682025
102,128966,127163,203958,1019,45,63581.5,2.1218860979859078
103,121818,125233,213041,1065,45,62616.5,2.0896814459321433
104,115167,122942,221986,1109,44,61471.0,2.0514530221729865
105,108996,120337,230768,1153,43,60168.5,2.007985085074512
106,103278,117462,239363,1196,42,58731.0,1.9600118339581536
107,97990,114364,247754,1238,41,57182.0,1.908317527189987
108,93106,111083,255923,1279,40,55541.5,1.8535696186985882
109,88598,107660,263857,1319,39,53830.0,1.7964522487607466
110,84440,104131,271547,1357,38,52065.5,1.7375661259121802
111,80608,100528,278985,1394,37,50264.0,1.6774452132957491
112,77076,96882,286166,1430,35,48441.0,1.6166067877060992
113,73822,93219,293086,1465,34,46609.5,1.555484694196805
114,70823,89562,299744,1498,33,44781.0,1.4944627187767971
115,68059,85932,306142,1530,31,42966.0,1.4338912747585777
116,65510,82345,312280,1561,30,41172.5,1.3740373437135769
117,63159,78816,318162,1590,29,39408.0,1.3151512208650102
118,60990,75358,323791,1618,28,37679.0,1.2574498287396652
119,58988,71980,329174,1645,26,35990.0,1.2010833444714708
120,57138,68691,334316,1671,25,34345.5,1.1462019451943568
121,55428,65496,339222,1696,24,32748.0,1.0928890626493948
122,53847,62401,343900,1719,23,31200.5,1.0412448149258717
123,52383,59410,348358,1741,22,29705.0,0.9913359474166445
124,51027,56524,352601,1763,21,28262.0,0.943179146469928
125,49771,53744,356639,1783,20,26872.0,0.8967910984339361
126,48606,51072,360478,1802,19,25536.0,0.8522051760050979
127,47525,48507,364126,1820,18,24253.5,0.8094046928351991
128,46521,46048,367591,1837,17,23024.0,0.7683729625760252
129,45589,43693,370880,1854,16,21846.5,0.7290766125311472
130,44722,41441,374001,1870,15,20720.5,0.6914989563523509
131,43915,39289,376961,1884,14,19644.5,0.6555899349949932
132,43164,37235,379767,1898,14,18617.5,0.6213161757626454
133,42464,35277,382427,1912,13,17638.5,0.5886443059588785
134,41813,33410,384947,1924,12,16705.0,0.5574908938426207
135,41205,31633,387333,1936,11,15816.5,0.5278392530656576
136,40638,29942,389593,1947,11,14971.0,0.49962263823513164
137,40108,28334,391731,1958,10,14167.0,0.47279099030639976
138,39614,26806,393755,1968,10,13403.0,0.4472942502348186
139,39153,25355,395670,1978,9,12677.5,0.4230823589757452
140,38721,23977,397481,1987,9,11988.5,0.4000885711363219
141,38318,22669,399194,1995,8,11334.5,0.37826282767190567
142,37940,21429,400813,2004,8,10714.5,0.3575717558860676
143,37587,20253,402344,2011,7,10126.5,0.33794861038595025
144,37256,19138,403790,2018,7,9569.0,0.31934333212691035
145,36947,18082,405157,2025,6,9041.0,0.3017225484125192
146,36657,17082,406449,2032,6,8541.0,0.2850362001981337
147,36385,16135,407669,2038,6,8067.5,0.2692342284391106
148,36130,15238,408822,2044,5,7619.0,0.2542665740908068
149,35891,14390,409910,2049,5,7195.0,0.24011655080500785
150,35667,13587,410938,2054,5,6793.5,0.22671741318885624
151,35457,12828,411909,2059,4,6414.0,0.21405247489413765
152,35260,12110,412825,2064,4,6055.0,0.20207167687620883
153,35075,11431,413690,2068,4,5715.5,0.19074164643864105
154,34902,10790,414507,2072,4,5395.0,0.18004569723321992
