day,susceptible,infected,recovered,chilam,chilamPerDay,symptomatic,percentOfTotalInfected
0,8100000,5,0,0,0,2.5,7.499453589811446e-06
1,8100310,5,0,0,0,2.5,7.499453589811446e-06
2,8100620,5,0,0,0,2.5,7.499453589811446e-06
3,8100930,5,1,0,0,2.5,7.499453589811446e-06
4,8101240,5,1,0,0,2.5,7.499453589811446e-06
5,8101550,5,1,0,0,2.5,7.499453589811446e-06
6,8101860,6,2,0,0,3.0,8.999344307773735e-06
7,8102170,6,2,0,0,3.0,8.999344307773735e-06
8,8102481,6,3,0,0,3.0,8.999344307773735e-06
9,8102791,6,3,0,0,3.0,8.999344307773735e-06
10,8103101,6,4,0,0,3.0,8.999344307773735e-06
11,8103411,7,4,0,0,3.5,1.0499235025736024e-05
12,8103721,7,5,0,0,3.5,1.0499235025736024e-05
13,8104031,7,5,0,0,3.5,1.0499235025736024e-05
14,8104341,7,6,0,0,3.5,1.0499235025736024e-05
15,8104651,8,6,0,0,4.0,1.1999125743698314e-05
16,8104961,8,7,0,0,4.0,1.1999125743698314e-05
17,8105271,8,8,0,0,4.0,1.1999125743698314e-05
18,8105581,9,8,0,0,4.5,1.3499016461660603e-05
19,8105891,9,9,0,0,4.5,1.3499016461660603e-05
20,8106201,9,9,0,0,4.5,1.3499016461660603e-05
21,8106511,10,10,0,0,5.0,1.4998907179622891e-05
22,8106821,10,11,0,0,5.0,1.4998907179622891e-05
23,8107130,10,12,0,0,5.0,1.4998907179622891e-05
24,8107440,11,12,0,0,5.5,1.6498797897585182e-05
25,8107750,11,13,0,0,5.5,1.6498797897585182e-05
26,8108060,11,14,0,0,5.5,1.6498797897585182e-05
27,8108370,12,15,0,0,6.0,1.799868861554747e-05
28,8108679,12,16,0,0,6.0,1.799868861554747e-05
29,8108989,13,17,0,0,6.5,1.949857933350976e-05
30,8109299,13,18,0,0,6.5,1.949857933350976e-05
31,8109608,13,18,0,0,6.5,1.949857933350976e-05
32,8109918,14,19,0,0,7.0,2.0998470051472048e-05
33,8110227,14,21,0,0,7.0,2.0998470051472048e-05
34,8110537,15,22,0,0,7.5,2.249836076943434e-05
35,8110846,15,23,0,0,7.5,2.249836076943434e-05
36,8111156,16,24,0,0,8.0,2.399825148739663e-05
37,8111465,17,25,0,0,8.5,2.5498142205358917e-05
38,8111775,17,26,0,0,8.5,2.5498142205358917e-05
39,8112084,18,27,0,0,9.0,2.6998032923321206e-05
40,8112393,18,29,0,0,9.0,2.6998032923321206e-05
41,8112702,19,30,0,0,9.5,2.8497923641283494e-05
42,8113011,20,31,0,0,10.0,2.9997814359245783e-05
43,8113321,20,33,0,0,10.0,2.9997814359245783e-05
44,8113630,21,34,0,0,10.5,3.149770507720807e-05
45,8113938,22,36,0,0,11.0,3.2997595795170364e-05
46,8114247,22,38,0,0,11.0,3.2997595795170364e-05
47,8114556,23,39,0,0,11.5,3.4497486513132656e-05
48,8114865,24,41,0,0,12.0,3.599737723109494e-05
49,8115174,25,43,0,0,12.5,3.749726794905723e-05
50,8115482,26,44,0,0,13.0,3.899715866701952e-05
51,8115791,27,46,0,0,13.5,4.049704938498181e-05
52,8116099,27,48,0,0,13.5,4.049704938498181e-05
53,8116408,28,50,0,0,14.0,4.1996940102944095e-05
54,8116716,29,52,0,0,14.5,4.349683082090639e-05
55,8117024,30,54,0,0,15.0,4.499672153886868e-05
56,8117332,31,57,0,0,15.5,4.649661225683097e-05
57,8117640,33,59,0,0,16.5,4.949639369275555e-05
58,8117948,34,61,0,0,17.0,5.0996284410717834e-05
59,8118256,35,64,0,0,17.5,5.2496175128680126e-05
60,8118563,36,66,0,0,18.0,5.399606584664241e-05
61,8118871,37,69,0,0,18.5,5.5495956564604703e-05
62,8119178,39,72,0,0,19.5,5.849573800052928e-05
63,8119486,40,74,0,0,20.0,5.9995628718491566e-05
64,8119793,41,77,0,0,20.5,6.149551943645386e-05
65,8120100,43,80,0,0,21.5,6.449530087237844e-05
66,8120407,44,83,0,0,22.0,6.599519159034073e-05
67,8120714,46,86,0,0,23.0,6.899497302626531e-05
68,8121020,47,90,0,0,23.5,7.04948637442276e-05
69,8121327,49,93,0,0,24.5,7.349464518015218e-05
70,8121633,50,97,0,0,25.0,7.499453589811447e-05
71,8121939,52,100,0,0,26.0,7.799431733403904e-05
72,8122245,54,104,0,0,27.0,8.099409876996362e-05
73,8122551,56,108,0,0,28.0,8.399388020588819e-05
74,8122857,58,112,0,0,29.0,8.699366164181278e-05
75,8123162,60,116,0,0,30.0,8.999344307773736e-05
76,8123467,62,120,0,0,31.0,9.299322451366194e-05
77,8123772,64,125,0,0,32.0,9.599300594958651e-05
78,8124077,66,129,0,0,33.0,9.89927873855111e-05
79,8124382,68,134,0,0,34.0,0.00010199256882143567
80,8124686,71,139,0,0,35.5,0.00010649224097532254
81,8124990,73,144,0,0,36.5,0.00010949202241124711
82,8125294,75,149,0,0,37.5,0.00011249180384717169
83,8125598,78,155,0,0,39.0,0.00011699147600105856
84,8125901,81,160,0,0,40.5,0.00012149114815494542
85,8126204,83,166,0,0,41.5,0.00012449092959087
86,8126507,86,172,0,0,43.0,0.00012899060174475688
87,8126810,89,178,0,0,44.5,0.00013349027389864375
88,8127112,92,185,0,0,46.0,0.00013798994605253062
89,8127414,95,191,0,0,47.5,0.0001424896182064175
90,8127716,99,198,0,0,49.5,0.00014848918107826663
91,8128017,102,205,1,0,51.0,0.0001529888532321535
92,8128318,106,213,1,0,53.0,0.00015898841610400267
93,8128618,109,220,1,0,54.5,0.0001634880882578895
94,8128919,113,228,1,0,56.5,0.00016948765112973868
95,8129219,117,236,1,0,58.5,0.00017548721400158782
96,8129518,121,245,1,0,60.5,0.00018148677687343702
97,8129817,125,253,1,0,62.5,0.00018748633974528616
98,8130116,129,262,1,0,64.5,0.00019348590261713533
99,8130414,133,271,1,0,66.5,0.00019948546548898447
100,8130712,138,281,1,0,69.0,0.0002069849190787959
101,8131009,143,291,1,0,71.5,0.00021448437266860737
102,8131306,148,301,1,0,74.0,0.00022198382625841881
103,8131602,153,312,1,0,76.5,0.00022948327984823025
