day,susceptible,infected,recovered,chilam,chilamPerDay,symptomatic,percentOfTotalInfected
0,13500000,5,0,0,0,2.5,3.4966696005356392e-06
1,13500517,5,0,0,0,2.5,3.4966696005356392e-06
2,13501034,5,0,0,0,2.5,3.4966696005356392e-06
3,13501551,5,1,0,0,2.5,3.4966696005356392e-06
4,13502068,6,1,0,0,3.0,4.196003520642768e-06
5,13502585,6,2,0,0,3.0,4.196003520642768e-06
6,13503102,7,2,0,0,3.5,4.895337440749895e-06
7,13503619,7,2,0,0,3.5,4.895337440749895e-06
8,13504136,7,3,0,0,3.5,4.895337440749895e-06
9,13504653,8,4,0,0,4.0,5.594671360857023e-06
10,13505170,8,4,0,0,4.0,5.594671360857023e-06
11,13505687,9,5,0,0,4.5,6.29400528096415e-06
12,13506204,9,5,0,0,4.5,6.29400528096415e-06
13,13506720,10,6,0,0,5.0,6.9933392010712785e-06
14,13507237,11,7,0,0,5.5,7.692673121178407e-06
15,13507754,11,8,0,0,5.5,7.692673121178407e-06
16,13508270,12,9,0,0,6.0,8.392007041285536e-06
17,13508787,13,9,0,0,6.5,9.091340961392663e-06
18,13509303,13,10,0,0,6.5,9.091340961392663e-06
19,13509820,14,11,0,0,7.0,9.79067488149979e-06
20,13510336,15,12,0,0,7.5,1.0490008801606919e-05
21,13510852,16,14,0,0,8.0,1.1189342721714046e-05
22,13511368,17,15,0,0,8.5,1.1888676641821174e-05
23,13511884,18,16,0,0,9.0,1.25880105619283e-05
24,13512400,19,17,0,0,9.5,1.328734448203543e-05
25,13512916,20,19,0,0,10.0,1.3986678402142557e-05
26,13513431,21,20,0,0,10.5,1.4686012322249684e-05
27,13513947,23,22,0,0,11.5,1.6084680162463942e-05
28,13514462,24,23,0,0,12.0,1.678401408257107e-05
29,13514977,26,25,0,0,13.0,1.8182681922785326e-05
30,13515492,27,27,0,0,13.5,1.888201584289245e-05
31,13516007,29,29,0,0,14.5,2.028068368310671e-05
32,13516522,30,31,0,0,15.0,2.0980017603213838e-05
33,13517036,32,33,0,0,16.0,2.2378685443428093e-05
34,13517550,34,36,0,0,17.0,2.3777353283642347e-05
35,13518064,36,38,0,0,18.0,2.51760211238566e-05
36,13518578,38,41,0,0,19.0,2.657468896407086e-05
37,13519091,41,44,0,0,20.5,2.8672690724392243e-05
38,13519605,43,47,0,0,21.5,3.0071358564606497e-05
39,13520117,46,50,0,0,23.0,3.2169360324927884e-05
40,13520630,48,53,0,0,24.0,3.356802816514214e-05
41,13521142,51,56,0,0,25.5,3.566602992546352e-05
42,13521654,54,60,0,0,27.0,3.77640316857849e-05
43,13522166,58,64,0,0,29.0,4.056136736621342e-05
44,13522677,61,68,0,0,30.5,4.26593691265348e-05
45,13523187,65,73,0,0,32.5,4.5456704806963314e-05
46,13523698,68,77,0,0,34.0,4.7554706567284694e-05
47,13524207,72,82,0,0,36.0,5.03520422477132e-05
48,13524717,77,87,0,0,38.5,5.384871184824885e-05
49,13525225,81,93,0,0,40.5,5.664604752867736e-05
50,13525733,86,99,0,0,43.0,6.0142717129212995e-05
51,13526241,91,105,0,0,45.5,6.363938672974864e-05
52,13526748,97,111,0,0,48.5,6.783539025039141e-05
53,13527254,102,118,0,0,51.0,7.133205985092704e-05
54,13527759,108,126,0,0,54.0,7.55280633715698e-05
55,13528264,115,133,0,0,57.5,8.042340081231971e-05
56,13528768,122,142,0,0,61.0,8.53187382530696e-05
57,13529271,129,150,0,0,64.5,9.02140756938195e-05
58,13529773,136,160,0,0,68.0,9.510941313456939e-05
59,13530274,144,169,0,0,72.0,0.0001007040844954264
60,13530774,153,180,0,0,76.5,0.00010699808977639058
61,13531273,162,191,0,0,81.0,0.00011329209505735471
62,13531771,171,202,1,0,85.5,0.00011958610033831887
63,13532268,182,215,1,0,91.0,0.00012727877345949728
64,13532763,192,228,1,0,96.0,0.00013427211266056857
65,13533257,204,241,1,0,102.0,0.0001426641197018541
66,13533749,216,256,1,0,108.0,0.0001510561267431396
67,13534240,228,271,1,0,114.0,0.00015944813378442516
68,13534730,242,288,1,0,121.0,0.00016923880866592493
69,13535217,256,305,1,0,128.0,0.00017902948354742474
70,13535703,271,323,1,0,135.5,0.00018951949234903166
71,13536187,287,343,1,0,143.5,0.0002007088350707457
72,13536668,304,363,1,0,152.0,0.00021259751171256688
73,13537148,322,385,1,0,161.0,0.0002251855222744952
74,13537625,341,408,2,0,170.5,0.0002384728667565306
75,13538100,361,433,2,0,180.5,0.00025245954515867316
76,13538572,383,459,2,0,191.5,0.00026784489140102997
77,13539041,405,486,2,0,202.5,0.0002832302376433868
78,13539507,429,515,2,0,214.5,0.00030001425172595787
79,13539971,455,546,2,0,227.5,0.0003181969336487432
80,13540431,481,578,2,0,240.5,0.0003363796155715285
81,13540887,510,612,3,0,255.0,0.0003566602992546352
82,13541340,540,649,3,0,270.0,0.00037764031685784904
83,13541789,572,688,3,0,286.0,0.00040001900230127716
84,13542234,606,728,3,0,303.0,0.0004237963555849195
85,13542674,641,772,3,0,320.5,0.000448273042788669
86,13543110,679,818,4,0,339.5,0.00047484773175273987
87,13543541,719,866,4,0,359.5,0.000502821088557025
88,13543966,762,918,4,0,381.0,0.0005328924471216315
89,13544386,807,972,4,0,403.5,0.0005643624735264522
90,13544801,854,1030,5,0,427.0,0.0005972311677714873
91,13545209,905,1091,5,0,452.5,0.0006328971976969507
92,13545610,958,1155,5,0,479.0,0.0006699618954626285
93,13546005,1015,1224,6,0,507.5,0.0007098239289087348
94,13546392,1075,1296,6,0,537.5,0.0007517839641151624
95,13546771,1138,1373,6,0,569.0,0.0007958420010819116
96,13547142,1205,1454,7,0,602.5,0.0008426973737290891
97,13547505,1276,1541,7,0,638.0,0.0008923500820566953
98,13547858,1352,1632,8,0,676.0,0.0009454994599848369
