day,susceptible,infected,recovered,chilam,chilamPerDay,symptomatic,percentOfTotalInfected
0,244961,5,0,0,0,2.5,0.00019368179011556604
1,244969,5,0,0,0,2.5,0.00019368179011556604
2,244978,5,0,0,0,2.5,0.00019368179011556604
3,244987,5,1,0,0,2.5,0.00019368179011556604
4,244995,6,1,0,0,3.0,0.00023241814813867927
5,245004,6,2,0,0,3.0,0.00023241814813867927
6,245012,7,2,0,0,3.5,0.00027115450616179245
7,245021,7,2,0,0,3.5,0.00027115450616179245
8,245029,7,3,0,0,3.5,0.00027115450616179245
9,245038,8,4,0,0,4.0,0.0003098908641849057
10,245046,8,4,0,0,4.0,0.0003098908641849057
11,245054,9,5,0,0,4.5,0.00034862722220801887
12,245062,9,5,0,0,4.5,0.00034862722220801887
13,245071,10,6,0,0,5.0,0.0003873635802311321
14,245079,11,7,0,0,5.5,0.00042609993825424533
15,245086,11,8,0,0,5.5,0.00042609993825424533
16,245094,12,9,0,0,6.0,0.00046483629627735854
17,245102,13,9,0,0,6.5,0.0005035726543004717
18,245110,13,10,0,0,6.5,0.0005035726543004717
19,245117,14,11,0,0,7.0,0.0005423090123235849
20,245125,15,12,0,0,7.5,0.0005810453703466981
21,245132,16,14,0,0,8.0,0.0006197817283698114
22,245140,17,15,0,0,8.5,0.0006585180863929246
23,245147,18,16,0,0,9.0,0.0006972544444160377
24,245154,19,17,0,0,9.5,0.000735990802439151
25,245161,20,19,0,0,10.0,0.0007747271604622641
26,245167,21,20,0,0,10.5,0.0008134635184853774
27,245174,23,22,0,0,11.5,0.0008909362345316038
28,245180,24,23,0,0,12.0,0.0009296725925547171
29,245186,26,25,0,0,13.0,0.0010071453086009435
30,245192,27,27,0,0,13.5,0.0010458816666240568
31,245198,29,29,0,0,14.5,0.001123354382670283
32,245204,30,31,0,0,15.0,0.0011620907406933961
33,245209,32,33,0,0,16.0,0.0012395634567396229
34,245214,34,36,0,0,17.0,0.0013170361727858492
35,245219,36,38,0,0,18.0,0.0013945088888320755
36,245224,38,41,0,0,19.0,0.001471981604878302
37,245228,41,44,0,0,20.5,0.0015881906789476416
38,245232,43,46,0,0,21.5,0.001665663394993868
39,245236,46,50,0,0,23.0,0.0017818724690632076
40,245239,48,53,0,0,24.0,0.0018593451851094342
41,245242,51,56,0,0,25.5,0.0019755542591787735
42,245245,54,60,0,0,27.0,0.0020917633332481135
43,245247,58,64,0,0,29.0,0.002246708765340566
44,245249,61,68,0,0,30.5,0.0023629178394099057
45,245251,65,73,0,0,32.5,0.0025178632715023587
46,245251,68,77,0,0,34.0,0.0026340723455716983
47,245252,72,82,0,0,36.0,0.002789017777664151
48,245252,77,87,0,0,38.5,0.002982699567779717
49,245251,81,93,0,0,40.5,0.00313764499987217
50,245250,86,99,0,0,43.0,0.003331326789987736
51,245248,91,105,0,0,45.5,0.0035250085801033022
52,245246,96,111,0,0,48.0,0.0037186903702188683
53,245242,102,118,0,0,51.0,0.003951108518357547
54,245238,108,126,0,0,54.0,0.004183526666496227
55,245234,115,133,0,0,57.5,0.004454681172658019
56,245228,121,142,0,0,60.5,0.004687099320796698
57,245222,128,150,0,0,64.0,0.004958253826958491
58,245214,136,160,0,0,68.0,0.005268144691143397
59,245206,144,169,0,0,72.0,0.005578035555328302
60,245197,153,180,0,0,76.5,0.005926662777536321
61,245186,161,191,0,0,80.5,0.006236553641721227
62,245174,171,202,1,0,85.5,0.006623917221952359
63,245161,181,214,1,0,90.5,0.0070112808021834915
64,245147,192,227,1,0,96.0,0.007437380740437737
65,245132,203,241,1,0,101.5,0.007863480678691982
66,245115,215,256,1,0,107.5,0.00832831697496934
67,245096,228,271,1,0,114.0,0.008831889629269812
68,245076,241,287,1,0,120.5,0.009335462283570285
69,245054,255,304,1,0,127.5,0.009877771295893869
70,245030,270,323,1,0,135.0,0.010458816666240567
71,245004,286,342,1,0,143.0,0.011078598394610378
72,244976,303,363,1,0,151.5,0.011737116481003302
73,244946,320,384,1,0,160.0,0.012395634567396226
74,244914,339,407,2,0,169.5,0.013131625369835377
75,244879,359,431,2,0,179.5,0.013906352530297641
76,244842,380,457,2,0,190.0,0.01471981604878302
77,244802,403,484,2,0,201.5,0.015610752283314624
78,244759,426,513,2,0,213.0,0.016501688517846228
79,244713,451,544,2,0,225.5,0.01747009746842406
80,244663,477,576,2,0,238.5,0.018477242777025
81,244611,505,610,3,0,252.5,0.01956186080167217
82,244554,535,646,3,0,267.5,0.020723951542365567
83,244494,566,684,3,0,283.0,0.021924778641082075
84,244430,599,725,3,0,299.5,0.023203078455844815
85,244362,634,768,3,0,317.0,0.024558850986653776
86,244289,671,813,4,0,335.5,0.02599209623350896
87,244211,710,861,4,0,355.0,0.02750281419641038
88,244128,751,912,4,0,375.5,0.02909100487535802
89,244040,795,965,4,0,397.5,0.030795404628375003
90,243947,841,1022,5,0,420.5,0.03257727709743821
91,243847,890,1082,5,0,445.0,0.03447535864057076
92,243741,942,1146,5,0,471.0,0.03648964925777265
93,243629,997,1213,6,0,498.5,0.03862014894904387
94,243509,1054,1284,6,0,527.0,0.040828121356361324
95,243382,1115,1360,6,0,557.5,0.04319103919577123
96,243247,1180,1440,7,0,590.0,0.04570890246727359
97,243104,1248,1524,7,0,624.0,0.04834297481284529
98,242953,1319,1613,8,0,659.5,0.051093256232486325
99,242792,1395,1707,8,0,697.5,0.05403721944224292
100,242621,1476,1807,9,0,738.0,0.05717486444211509
101,242440,1560,1912,9,0,780.0,0.060428718516056606
102,242249,1649,2024,10,0,824.5,0.06387625438011368
103,242046,1744,2142,10,0,872.0,0.06755620839230944
104,241831,1843,2266,11,0,921.5,0.07139110783659765
105,241604,1948,2398,11,0,974.0,0.07545842542902453
106,241363,2059,2537,12,0,1029.5,0.0797581611695901
107,241109,2175,2684,13,0,1087.5,0.08425157870027122
108,240840,2298,2840,14,0,1149.0,0.08901615073711416
109,240555,2428,3004,15,0,1214.0,0.09405187728011886
110,240254,2565,3177,15,0,1282.5,0.0993587583292854
111,239936,2709,3361,16,0,1354.5,0.10493679388461369
112,239601,2860,3554,17,0,1430.0,0.11078598394610378
113,239246,3019,3758,18,1,1509.5,0.11694506487177879
114,238872,3187,3974,19,1,1593.5,0.1234527730196618
115,238477,3364,4202,21,1,1682.0,0.13030910838975285
116,238060,3549,4442,22,1,1774.5,0.13747533462402878
117,237621,3744,4696,23,1,1872.0,0.14502892443853585
118,237158,3949,4963,24,1,1974.5,0.15296987783327406
119,236670,4164,5245,26,1,2082.0,0.1612981948082434
120,236156,4389,5543,27,1,2194.5,0.1700138753634439
121,235615,4626,5856,29,1,2313.0,0.1791943922149217
122,235045,4874,6187,30,1,2437.0,0.18880100900465377
123,234446,5134,6535,32,1,2567.0,0.19887246209066323
124,233816,5406,6901,34,1,2703.0,0.20940875147295002
125,233155,5690,7288,36,1,2845.0,0.22040987715151417
126,232459,5988,7694,38,2,2994.0,0.23195331184240192
127,231730,6299,8122,40,2,3149.5,0.2440003191875901
128,230964,6624,8572,42,2,3312.0,0.2565896355451019
129,230161,6962,9045,45,2,3481.0,0.26968252455691416
130,229319,7316,9542,47,2,3658.0,0.2833951952970962
131,228437,7683,10065,50,2,3841.5,0.2976114386915788
132,227514,8066,10614,53,2,4033.0,0.31244746381443117
133,226549,8464,11190,55,2,4232.0,0.3278645343076302
134,225540,8877,11795,58,3,4438.5,0.34386265017117595
135,224486,9305,12429,62,3,4652.5,0.3604418114050684
136,223386,9749,13093,65,3,4874.5,0.3776407543673307
137,222239,10209,13790,68,3,5104.5,0.39545947905796275
138,221043,10684,14519,72,3,5342.0,0.41385924911894156
139,219798,11174,15282,76,3,5587.0,0.432840064550267
140,218503,11679,16080,80,3,5839.5,0.4524019253519392
141,217157,12199,16915,84,4,6099.5,0.47254483152395804
142,215760,12734,17786,88,4,6367.0,0.4932687830663236
143,214310,13282,18696,93,4,6641.0,0.5144963072629897
144,212807,13844,19644,98,4,6922.0,0.5362661404719793
145,211252,14419,20633,103,4,7209.5,0.5585395463352694
146,209643,15005,21663,108,5,7502.5,0.5812390521368137
147,207982,15603,22735,113,5,7801.5,0.6044033942346354
148,206267,16211,23850,119,5,8105.5,0.6279550999126883
149,204501,16827,25007,125,5,8413.5,0.651816696454926
150,202682,17452,26209,131,6,8726.0,0.6760269202193717
151,200813,18082,27456,137,6,9041.0,0.7004308257739331
152,198893,18718,28748,143,6,9359.0,0.7250671494766331
153,196925,19356,30085,150,6,9678.0,0.7497809458953792
154,194910,19997,31467,157,6,9998.5,0.7746109513881948
155,192848,20637,32896,164,7,10318.5,0.7994022205229873
156,190744,21275,34370,171,7,10637.5,0.8241160169417335
157,188597,21909,35889,179,7,10954.5,0.8486748679283873
158,186412,22537,37454,187,7,11268.5,0.8730013007669023
159,184189,23156,39064,195,8,11578.0,0.8969791063832095
160,181932,23766,40718,203,8,11883.0,0.9206082847773085
161,179645,24363,42416,212,8,12181.5,0.9437338905171072
162,177329,24946,44156,220,8,12473.0,0.9663171872445822
163,174988,25511,45938,229,8,12755.5,0.9882032295276412
164,172625,26058,47760,238,9,13029.0,1.009392017366284
165,170245,26584,49622,248,9,13292.0,1.0297673416864417
166,167849,27087,51521,257,9,13543.5,1.0492517297720676
167,165443,27565,53455,267,9,13782.5,1.0677677089071156
168,163029,28016,55424,277,9,14008.0,1.0852378063755397
169,160611,28439,57426,287,10,14219.5,1.1016232858193167
170,158193,28832,59457,297,10,14416.0,1.1168466745224002
171,155778,29193,61516,307,10,14596.5,1.130830499768744
172,153371,29521,63602,318,10,14760.5,1.143536025200325
173,150974,29815,65710,328,10,14907.5,1.1549245144591203
174,148590,30075,67840,339,10,15037.5,1.1649959675451298
175,146224,30298,69988,349,10,15149.0,1.173634175384284
176,143879,30485,72152,360,10,15242.5,1.1808778743346062
177,141556,30635,74330,371,10,15317.5,1.1866883280380733
178,139260,30748,76518,382,10,15374.0,1.191065536494685
179,136993,30824,78715,393,10,15412.0,1.1940094997044415
180,134757,30864,80916,404,11,15432.0,1.195558954025366
181,132555,30866,83121,415,11,15433.0,1.1956364267414124
182,130389,30833,85326,426,11,15416.5,1.1943581269266497
183,128260,30764,87528,437,11,15382.0,1.191685318223055
184,126171,30661,89726,448,10,15330.5,1.187695473346674
185,124122,30524,91916,459,10,15262.0,1.1823885922975075
186,122116,30354,94096,470,10,15177.0,1.1758034114335785
187,120154,30153,96264,481,10,15076.5,1.1680174034709325
188,118236,29922,98418,492,10,14961.0,1.1590693047675935
189,116363,29662,100555,502,10,14831.0,1.148997851681584
190,114535,29375,102674,513,10,14687.5,1.1378805169289505
191,112754,29063,104772,523,10,14531.5,1.1257947732257392
192,111019,28726,106848,534,10,14363.0,1.11274062057195
193,109331,28366,108900,544,10,14183.0,1.0987955316836293
194,107689,27986,110926,554,10,13993.0,1.0840757156348464
195,106094,27586,112925,564,9,13793.0,1.0685811724256011
196,104544,27169,114896,574,9,13584.5,1.0524281111299627
