day,susceptible,infected,recovered,chilam,chilamPerDay,symptomatic,percentOfTotalInfected
0,2700000,5,0,0,0,2.5,1.323692159715743e-05
1,2700101,6,0,0,0,3.0,1.5884305916588914e-05
2,2700202,8,0,0,0,4.0,2.1179074555451888e-05
3,2700302,11,1,0,0,5.5,2.9121227513746345e-05
4,2700401,15,2,0,0,7.5,3.971076479147229e-05
5,2700498,20,3,0,0,10.0,5.294768638862972e-05
6,2700594,27,4,0,0,13.5,7.147937662465011e-05
7,2700686,36,6,0,0,18.0,9.530583549953349e-05
8,2700775,48,9,0,0,24.0,0.00012707444733271132
9,2700859,64,12,0,0,32.0,0.0001694325964436151
10,2700937,85,17,0,0,42.5,0.0002250276671516763
11,2701006,113,23,0,0,56.5,0.0002991544280957579
12,2701064,151,31,0,0,75.5,0.0003997550322341544
13,2701107,201,42,0,0,100.5,0.0005321242482057287
14,2701131,267,56,0,0,133.5,0.0007068516132882067
15,2701127,354,76,0,0,177.0,0.0009371740490787459
16,2701089,471,101,0,0,235.5,0.0012469180144522298
17,2701004,626,135,0,0,313.0,0.00165726258396411
18,2700856,832,179,0,0,416.0,0.002202623753766996
19,2700627,1106,239,1,0,553.0,0.0029280070572912232
20,2700288,1470,318,1,0,735.0,0.003891654949564284
21,2699803,1953,423,2,0,976.5,0.005170341575849692
22,2699125,2595,562,2,0,1297.5,0.0068699623089247056
23,2698191,3447,748,3,0,1723.5,0.009125533749080332
24,2696917,4579,994,4,1,2289.5,0.012122372798676773
25,2695190,6081,1321,6,1,3040.5,0.016098744046462866
26,2692865,8075,1755,8,2,4037.5,0.02137762837940925
27,2689747,10720,2332,11,2,5360.0,0.02837995990430553
28,2685578,14226,3098,15,3,7113.0,0.03766168932823232
29,2680021,18870,4114,20,5,9435.0,0.04995614210767214
30,2672631,25014,5462,27,6,12507.0,0.06622167136625919
31,2662829,33132,7249,36,8,16566.0,0.087713137271404
32,2649860,43836,9615,48,11,21918.0,0.1160507390265986
33,2632752,57914,12747,63,15,28957.0,0.15332061547555506
34,2610263,76366,16883,84,20,38183.0,0.20217015093770488
35,2580831,100442,22338,111,27,50221.0,0.2659085758123373
36,2542525,131671,29513,147,35,65835.5,0.34858374072386317
37,2493024,171863,38918,194,47,85931.5,0.45498741129045345
38,2429641,223063,51194,255,61,111531.5,0.5905334884453456
39,2349441,287420,67127,335,79,143710.0,0.7609112010909976
40,2249486,366932,87657,438,102,183466.0,0.971410023097634
41,2127285,463005,113866,569,131,231502.5,1.2257521768183752
42,1981443,575851,146938,734,165,287925.5,1.5244989077289406
43,1812473,703758,188070,940,205,351879.0,1.8631178938744637
44,1623566,842459,238339,1191,251,421229.5,2.2303127463639303
45,1420985,984919,298514,1492,300,492459.5,2.6074591165101397
46,1213690,1121909,368866,1844,351,560954.5,2.970124294429059
47,1012003,1243498,449002,2245,400,621749.0,3.2920171064444137
48,825601,1341110,537823,2689,444,670555.0,3.5504335846327604
49,661593,1409350,633617,3168,478,704675.0,3.7310910905907644
50,523478,1446818,734285,3671,503,723409.0,3.8302832862712237
51,411289,1455678,837629,4188,516,727839.0,3.853739111341387
52,322604,1440398,941606,4708,519,720199.0,3.8132870789404736
53,253773,1406354,1044492,5222,514,703177.0,3.7231595271697477
54,200907,1358773,1144946,5724,502,679386.5,3.5971943338668786
55,160471,1302161,1242001,6210,485,651080.5,3.447320612775223
