day,susceptible,infected,recovered,chilam,chilamPerDay,symptomatic,percentOfTotalInfected
0,563495,5,0,0,0,2.5,6.788186058206252e-05
1,563515,5,0,0,0,2.5,6.788186058206252e-05
2,563536,6,0,0,0,3.0,8.145823269847502e-05
3,563556,7,1,0,0,3.5,9.503460481488753e-05
4,563576,8,1,0,0,4.0,0.00010861097693130004
5,563596,9,2,0,0,4.5,0.00012218734904771253
6,563616,10,2,0,0,5.0,0.00013576372116412503
7,563635,11,3,0,0,5.5,0.00014934009328053754
8,563655,13,4,0,0,6.5,0.00017649283751336255
9,563674,14,5,0,0,7.0,0.00019006920962977506
10,563692,16,6,0,0,8.0,0.00021722195386260007
11,563711,18,7,0,0,9.0,0.00024437469809542506
12,563728,21,9,0,0,10.5,0.0002851038144446626
13,563746,24,10,0,0,12.0,0.0003258329307939001
14,563763,27,12,0,0,13.5,0.0003665620471431376
15,563779,30,14,0,0,15.0,0.00040729116349237513
16,563794,34,16,0,0,17.0,0.0004615966519580251
17,563809,39,18,0,0,19.5,0.0005294785125400876
18,563823,44,21,0,0,22.0,0.0005973603731221502
19,563836,49,24,0,0,24.5,0.0006652422337042127
20,563847,56,28,0,0,28.0,0.0007602768385191002
21,563858,63,32,0,0,31.5,0.0008553114433339877
22,563867,71,36,0,0,35.5,0.0009639224202652878
23,563874,80,42,0,0,40.0,0.0010861097693130003
24,563879,91,47,0,0,45.5,0.0012354498625935378
25,563883,103,54,0,0,51.5,0.001398366327990488
26,563884,116,61,0,0,58.0,0.0015748591655038505
27,563882,131,70,0,0,65.5,0.001778504747250038
28,563877,148,79,0,0,74.0,0.0020093030732290505
29,563869,167,90,0,0,83.5,0.002267254143440888
30,563857,188,101,0,0,94.0,0.0025523579578855507
31,563841,213,115,0,0,106.5,0.002891767260795863
32,563820,240,130,0,0,120.0,0.003258329307939001
33,563794,271,147,0,0,135.5,0.003679196843547788
34,563761,306,167,0,0,153.0,0.0041543698676222264
35,563721,345,189,0,0,172.5,0.004683848380162313
36,563674,390,213,1,0,195.0,0.005294785125400876
37,563617,440,241,1,0,220.0,0.005973603731221502
38,563551,497,273,1,0,248.5,0.006747456941857014
39,563473,560,308,1,0,280.0,0.007602768385191002
40,563383,633,348,1,0,316.5,0.008593843549689114
41,563278,714,393,1,0,357.0,0.009693529691118528
42,563156,806,444,2,0,403.0,0.010942555925828478
43,563017,909,502,2,0,454.5,0.012340922253818967
44,562857,1026,567,2,0,513.0,0.013929357791439228
45,562673,1158,640,3,0,579.0,0.015721438910805678
46,562463,1306,723,3,0,653.0,0.01773074198403473
47,562224,1474,816,4,0,737.0,0.02001157249959203
48,561951,1663,922,4,0,831.5,0.02257750682959399
49,561641,1876,1041,5,0,938.0,0.025469274090389855
50,561289,2116,1175,5,0,1058.0,0.028727603398328857
51,560888,2386,1326,6,0,1193.0,0.032393223869760235
52,560435,2691,1496,7,0,1345.5,0.03653401736526605
53,559921,3034,1689,8,0,1517.0,0.041190713001195534
54,559339,3420,1905,9,1,1710.0,0.04643119263813076
55,558682,3855,2150,10,1,1927.5,0.052336914508770205
56,557938,4344,2425,12,1,2172.0,0.05897576047369592
57,557099,4894,2735,13,1,2447.0,0.06644276513772279
58,556153,5513,3085,15,1,2756.5,0.07484653947778214
59,555086,6207,3479,17,1,3103.5,0.0842685417265724
60,553884,6987,3922,19,2,3493.5,0.09485811197737416
61,552532,7861,4421,22,2,3930.5,0.10672386120711867
62,551011,8842,4983,24,2,4421.0,0.12004228225331935
63,549303,9939,5614,28,3,4969.5,0.13493556246502386
64,547386,11167,6324,31,3,5583.5,0.15160734742397844
65,545237,12539,7122,35,3,6269.5,0.17023412996769638
66,542831,14070,8018,40,4,7035.0,0.19101955567792392
67,540141,15776,9023,45,5,7888.0,0.21418084650852368
68,537137,17674,10150,50,5,8837.0,0.2399488007854746
69,533788,19781,11412,57,6,9890.5,0.2685542168347557
70,530061,22115,12825,64,7,11057.5,0.3002414693544625
71,525920,24696,14405,72,7,12348.0,0.33528208578692315
72,521330,27542,16169,80,8,13771.0,0.3739204408302331
