day,susceptible,infected,recovered,chilam,chilamPerDay,symptomatic,percentOfTotalInfected
0,8100000,5,0,0,0,2.5,5.831492039721791e-06
1,8100310,5,0,0,0,2.5,5.831492039721791e-06
2,8100620,5,0,0,0,2.5,5.831492039721791e-06
3,8100930,5,1,0,0,2.5,5.831492039721791e-06
4,8101239,6,1,0,0,3.0,6.997790447666149e-06
5,8101549,6,2,0,0,3.0,6.997790447666149e-06
6,8101859,7,2,0,0,3.5,8.164088855610509e-06
7,8102169,7,2,0,0,3.5,8.164088855610509e-06
8,8102479,7,3,0,0,3.5,8.164088855610509e-06
9,8102789,8,4,0,0,4.0,9.330387263554866e-06
10,8103098,8,4,0,0,4.0,9.330387263554866e-06
11,8103408,9,5,0,0,4.5,1.0496685671499224e-05
12,8103718,9,5,0,0,4.5,1.0496685671499224e-05
13,8104027,10,6,0,0,5.0,1.1662984079443582e-05
14,8104337,11,7,0,0,5.5,1.2829282487387942e-05
15,8104646,11,8,0,0,5.5,1.2829282487387942e-05
16,8104955,12,9,0,0,6.0,1.3995580895332298e-05
17,8105265,13,9,0,0,6.5,1.5161879303276656e-05
18,8105574,13,10,0,0,6.5,1.5161879303276656e-05
19,8105883,14,11,0,0,7.0,1.6328177711221017e-05
20,8106192,15,12,0,0,7.5,1.7494476119165373e-05
21,8106501,16,14,0,0,8.0,1.8660774527109733e-05
22,8106810,17,15,0,0,8.5,1.982707293505409e-05
23,8107118,18,16,0,0,9.0,2.099337134299845e-05
24,8107427,19,17,0,0,9.5,2.2159669750942808e-05
25,8107735,20,19,0,0,10.0,2.3325968158887164e-05
26,8108043,21,20,0,0,10.5,2.449226656683152e-05
27,8108352,23,22,0,0,11.5,2.6824863382720236e-05
28,8108660,24,23,0,0,12.0,2.7991161790664596e-05
29,8108967,26,25,0,0,13.0,3.032375860655331e-05
30,8109275,27,27,0,0,13.5,3.1490057014497675e-05
31,8109582,29,29,0,0,14.5,3.382265383038639e-05
32,8109890,30,31,0,0,15.0,3.4988952238330747e-05
33,8110197,32,33,0,0,16.0,3.7321549054219466e-05
34,8110504,34,36,0,0,17.0,3.965414587010818e-05
35,8110810,36,38,0,0,18.0,4.19867426859969e-05
36,8111116,38,41,0,0,19.0,4.4319339501885616e-05
37,8111422,41,44,0,0,20.5,4.781823472571869e-05
38,8111728,43,47,0,0,21.5,5.01508315416074e-05
39,8112034,46,50,0,0,23.0,5.364972676544047e-05
40,8112339,48,53,0,0,24.0,5.598232358132919e-05
41,8112644,51,56,0,0,25.5,5.948121880516227e-05
42,8112948,54,60,0,0,27.0,6.298011402899535e-05
43,8113252,58,64,0,0,29.0,6.764530766077277e-05
44,8113556,61,68,0,0,30.5,7.114420288460585e-05
45,8113859,65,73,0,0,32.5,7.580939651638328e-05
46,8114162,68,77,0,0,34.0,7.930829174021636e-05
47,8114464,72,82,0,0,36.0,8.39734853719938e-05
48,8114766,77,87,0,0,38.5,8.980497741171558e-05
49,8115067,81,93,0,0,40.5,9.447017104349302e-05
50,8115367,86,99,0,0,43.0,0.0001003016630832148
51,8115667,91,105,0,0,45.5,0.0001061331551229366
52,8115967,97,111,0,0,48.5,0.00011313094557060276
53,8116265,102,118,0,0,51.0,0.00011896243761032454
54,8116563,108,126,0,0,54.0,0.0001259602280579907
55,8116861,115,133,0,0,57.5,0.00013412431691360122
56,8117157,122,142,0,0,61.0,0.0001422884057692117
57,8117452,129,150,0,0,64.5,0.00015045249462482222
58,8117747,136,160,0,0,68.0,0.0001586165834804327
59,8118040,144,169,0,0,72.0,0.0001679469707439876
60,8118333,153,180,0,0,76.5,0.0001784436564154868
61,8118624,162,191,0,0,81.0,0.00018894034208698603
62,8118914,171,202,1,0,85.5,0.00019943702775848524
63,8119203,182,215,1,0,91.0,0.0002122663102458732
64,8119491,192,228,1,0,96.0,0.00022392929432531677
65,8119777,204,241,1,0,102.0,0.00023792487522064908
66,8120062,216,256,1,0,108.0,0.0002519204561159814
67,8120346,228,271,1,0,114.0,0.00026591603701131366
68,8120627,242,288,1,0,121.0,0.0002822442147225347
69,8120907,256,305,1,0,128.0,0.0002985723924337557
70,8121185,271,323,1,0,135.5,0.0003160668685529211
71,8121461,287,343,1,0,143.5,0.0003347276430800308
72,8121735,304,363,1,0,152.0,0.00035455471601508493
73,8122007,322,385,1,0,161.0,0.00037554808735808335
74,8122276,341,408,2,0,170.5,0.0003977077571090261
75,8122543,361,433,2,0,180.5,0.00042103372526791335
76,8122808,383,458,2,0,191.5,0.00044669229024268915
77,8123069,405,486,2,0,202.5,0.00047235085521746506
78,8123328,429,515,2,0,214.5,0.0005003420170081297
79,8123584,455,546,2,0,227.5,0.000530665775614683
80,8123836,481,578,2,0,240.5,0.0005609895342212363
81,8124085,510,612,3,0,255.0,0.0005948121880516227
82,8124330,540,649,3,0,270.0,0.0006298011402899535
83,8124571,572,688,3,0,286.0,0.0006671226893441729
84,8124808,605,728,3,0,302.5,0.0007056105368063368
85,8125040,641,772,3,0,320.5,0.0007475972794923337
86,8125268,679,818,4,0,339.5,0.0007919166189942192
87,8125491,719,866,4,0,359.5,0.0008385685553119935
88,8125709,762,917,4,0,381.0,0.000888719386853601
89,8125922,807,972,4,0,403.5,0.0009412028152110972
90,8126128,854,1030,5,0,427.0,0.000996018840384482
91,8126328,905,1091,5,0,452.5,0.001055500059189644
92,8126522,958,1155,5,0,479.0,0.0011173138748106952
93,8126709,1014,1224,6,0,507.0,0.0011826265856555794
94,8126888,1074,1296,6,0,537.0,0.0012526044901322408
95,8127059,1138,1373,6,0,569.0,0.0013272475882406796
96,8127223,1205,1454,7,0,602.5,0.0014053895815729516
97,8127377,1276,1540,7,0,638.0,0.0014881967685370012
98,8127522,1351,1632,8,0,675.5,0.001575669149132828
99,8127658,1431,1728,8,0,715.5,0.0016689730217683766
100,8127783,1516,1830,9,0,758.0,0.0017681083864436473
101,8127897,1605,1939,9,0,802.5,0.0018719089447506948
102,8127999,1700,2053,10,0,850.0,0.001982707293505409
103,8128089,1800,2175,10,0,900.0,0.002099337134299845
104,8128166,1907,2303,11,0,953.5,0.0022241310639498912
105,8128229,2019,2440,12,0,1009.5,0.0023547564856396595
106,8128277,2138,2584,12,0,1069.0,0.002493545996185038
107,8128310,2265,2737,13,0,1132.5,0.0026416658939939714
108,8128326,2398,2899,14,0,1199.0,0.0027967835822505713
109,8128325,2540,3070,15,0,1270.0,0.00296239795617867
110,8128305,2690,3251,16,0,1345.0,0.0031373427173703237
111,8128266,2849,3444,17,0,1424.5,0.0033227841642334763
112,8128206,3017,3647,18,1,1508.5,0.0035187222967681285
113,8128124,3195,3863,19,1,1597.5,0.0037263234133822244
114,8128019,3384,4091,20,1,1692.0,0.003946753812483709
115,8127889,3583,4333,21,1,1791.5,0.004178847195664636
116,8127734,3795,4588,22,1,1897.5,0.0044261024581488395
117,8127550,4019,4860,24,1,2009.5,0.004687353301528375
118,8127338,4256,5147,25,1,2128.0,0.004963766024211188
119,8127094,4507,5451,27,1,2253.5,0.0052565069246052224
120,8126818,4773,5773,28,1,2386.5,0.005566742301118422
121,8126507,5055,6114,30,1,2527.5,0.005895638452158731
122,8126159,5353,6475,32,1,2676.5,0.00624319537772615
123,8125773,5669,6857,34,1,2834.5,0.006611745674636567
124,8125345,6003,7262,36,2,3001.5,0.007001289342889983
125,8124874,6357,7691,38,2,3178.5,0.007414158979302286
126,8124356,6732,8145,40,2,3366.0,0.00785152088228142
127,8123790,7129,8626,43,2,3564.5,0.008314541350235329
128,8123172,7550,9135,45,2,3775.0,0.008805552979979906
129,8122499,7995,9675,48,2,3997.5,0.009324555771515143
130,8121768,8466,10246,51,2,4233.0,0.009873882321656936
131,8120976,8965,10850,54,3,4482.5,0.010455865227221172
132,8120119,9493,11491,57,3,4746.5,0.011071670786615794
133,8119194,10052,12169,60,3,5026.0,0.01172363159665669
134,8118195,10644,12887,64,3,5322.0,0.012414080254159748
135,8117120,11270,13647,68,3,5635.0,0.013144183057532918
136,8115963,11933,14452,72,4,5966.5,0.013917438902000026
137,8114719,12635,15305,76,4,6317.5,0.014736180384376966
138,8113385,13379,16207,81,4,6689.5,0.015603906399887568
139,8111954,14165,17163,85,4,7082.5,0.016520616948531835
140,8110421,14998,18175,90,5,7499.0,0.017492143522349485
141,8108779,15878,19246,96,5,7939.0,0.018518486121340518
142,8107024,16811,20380,101,5,8405.5,0.019606642535952606
143,8105147,17797,21581,107,6,8898.5,0.020756612766185744
144,8103143,18841,22852,114,6,9420.5,0.021974228304079656
145,8101003,19946,24198,120,6,9973.0,0.02326298804485817
146,8098721,21114,25623,128,7,10557.0,0.024625224585337183
147,8096287,22351,27131,135,7,11175.5,0.026067935715964347
148,8093693,23658,28727,143,7,11829.0,0.027592287735147623
149,8090930,25042,30417,152,8,12521.0,0.02920644473174262
150,8087988,26505,32206,161,8,13252.5,0.030912739302565214
151,8084858,28052,34099,170,9,14026.0,0.03271700293965514
152,8081528,29689,36103,180,10,14844.5,0.03462623343346005
153,8077987,31419,38224,191,10,15709.5,0.03664392967920379
154,8074223,33248,40468,202,11,16624.0,0.038777089467334026
155,8070224,35181,42843,214,11,17590.5,0.04103154428989047
156,8065976,37225,45356,226,12,18612.5,0.04341545823572873
157,8061467,39385,48015,240,13,19692.5,0.04593466279688855
158,8056680,41668,50828,254,14,20834.0,0.048597322062225515
159,8051601,44080,53804,269,14,22040.0,0.05141043382218731
160,8046213,46627,56953,284,15,23313.5,0.054380995867221595
161,8040500,49318,60284,301,16,24659.0,0.05751950488299985
162,8034444,52159,63806,319,17,26079.5,0.06083295865996979
163,8028026,55160,67532,337,18,27580.0,0.06433302018221079
164,8021227,58327,71472,357,19,29163.5,0.06802668724017058
165,8014025,61669,75638,378,20,30834.5,0.07192445651952062
166,8006400,65196,80043,400,22,32598.0,0.07603799100434037
167,7998329,68917,84700,423,23,34458.5,0.08037778738030134
168,7989789,72841,89623,448,24,36420.5,0.084954342333075
169,7980754,76979,94826,474,26,38489.5,0.08978048514514875
170,7971200,81340,100324,501,27,40670.0,0.0948667125021941
171,7961099,85936,106134,530,29,42968.0,0.10022701998510636
172,7950424,90778,112273,561,30,45389.0,0.10587423687637296
173,7939145,95877,118757,593,32,47938.5,0.11182119245848124
174,7927233,101246,125605,628,34,50623.0,0.1180830486107345
175,7914655,106895,132837,664,36,53447.5,0.12467146831721217
176,7901380,112838,140473,702,38,56419.0,0.1316027797556255
177,7887373,119087,148533,742,40,59543.5,0.13889097850686977
178,7872600,125656,157039,785,42,62828.0,0.14655239274865628
179,7857024,132557,166014,830,44,66278.5,0.15460101806188029
180,7840610,139805,175483,877,47,69902.5,0.16305434892266102
181,7823317,147411,185469,927,49,73705.5,0.1719252146134858
182,7805107,155391,195998,979,52,77695.5,0.18123227590888177
183,7785941,163757,207098,1035,55,81878.5,0.19098952838974426
184,7765775,172523,218795,1093,58,86261.5,0.20121330023378453
185,7744570,181702,231118,1155,61,90851.0,0.2119187533203058
186,7722281,191308,244096,1220,64,95654.0,0.22312221582701927
187,7698866,201354,257761,1288,68,100677.0,0.23483884963322832
188,7674281,211851,272144,1360,71,105925.5,0.24708148402142024
