day,susceptible,infected,recovered,chilam,chilamPerDay,symptomatic,percentOfTotalInfected
0,8100000,5,0,0,0,2.5,4.411638442195056e-06
1,8100308,6,0,0,0,3.0,5.293966130634067e-06
2,8100616,8,0,0,0,4.0,7.05862150751209e-06
3,8100923,11,1,0,0,5.5,9.705604572829124e-06
4,8101229,15,2,0,0,7.5,1.3234915326585168e-05
5,8101534,20,3,0,0,10.0,1.7646553768780225e-05
6,8101836,27,4,0,0,13.5,2.3822847587853303e-05
7,8102136,36,6,0,0,18.0,3.17637967838044e-05
8,8102432,48,9,0,0,24.0,4.2351729045072536e-05
9,8102724,64,12,0,0,32.0,5.646897206009672e-05
10,8103009,85,17,0,0,42.5,7.499785351731595e-05
11,8103285,113,23,0,0,56.5,9.970302879360826e-05
12,8103550,151,31,0,0,75.5,0.00013323148095429067
13,8103801,201,42,0,0,100.5,0.00017734786537624124
14,8104031,267,56,0,0,133.5,0.000235581492813216
15,8104235,355,76,0,0,177.5,0.000313226329395849
16,8104404,471,101,0,0,235.5,0.00041557634125477424
17,8104526,626,135,0,0,313.0,0.000552337132962821
18,8104586,832,179,0,0,416.0,0.0007340966367812573
19,8104563,1106,239,1,0,553.0,0.0009758544234135464
20,8104431,1470,318,1,0,735.0,0.0012970217020053464
21,8104153,1954,423,2,0,977.0,0.001724068303209828
22,8103682,2596,563,2,0,1298.0,0.002290522679187673
23,8102954,3450,748,3,0,1725.0,0.0030440305251145886
24,8101884,4584,995,4,1,2292.0,0.0040445901238044275
25,8100360,6091,1322,6,1,3045.5,0.005374257950282017
26,8098234,8093,1757,8,2,4046.5,0.007140677982536917
27,8095308,10751,2335,11,2,5375.5,0.009485904978407808
28,8091320,14282,3103,15,3,7141.0,0.012601404046285958
29,8085923,18968,4123,20,5,9484.0,0.016735991594311165
30,8078659,25188,5478,27,6,12594.0,0.022224069816401813
31,8068919,33437,7277,36,8,16718.5,0.02950239091833522
32,8055905,44372,9666,48,11,22186.0,0.039150644191415805
33,8038560,58855,12835,64,15,29427.5,0.051929396103078
34,8015504,78015,17039,85,21,39007.5,0.06883479461356946
35,7984930,103324,22612,113,27,51662.0,0.09116562608027239
36,7944492,136686,29992,149,36,68343.0,0.12060184242197469
37,7891170,180547,39755,198,48,90273.5,0.15930161716459815
38,7821112,238008,52652,263,64,119004.0,0.21000104846999218
39,7729483,312933,69652,348,85,156466.5,0.2761094505262851
40,7610327,410028,92005,460,111,205014.0,0.3617790574352709
41,7456517,534837,121293,606,146,267418.5,0.4719014939016554
42,7259856,693574,159495,797,191,346787.0,0.6119595441813988
43,7011470,892687,209036,1045,247,446343.5,0.7876424572095555
44,6702638,1138013,272800,1364,318,569006.5,1.0041003797035444
45,6326205,1433403,354086,1770,406,716701.5,1.264731155591544
46,5878628,1778819,456472,2282,511,889409.5,1.5695012564213933
47,5362437,2168157,583531,2917,635,1084078.5,1.913024953982861
48,4788467,2587442,738399,3691,774,1293721.0,2.282971718830012
49,4176781,3014471,923217,4616,924,1507235.5,2.6597512292964343
50,3555150,3420919,1138536,5692,1076,1710459.5,3.0183715536070936
51,2954677,3777154,1382887,6914,1221,1888577.0,3.332687557698165
52,2403644,4058482,1652684,8263,1348,2029241.0,3.5809110416313352
53,1921982,4250326,1942576,9712,1449,2125163.0,3.7501803146922286
54,1518630,4350142,2246170,11230,1517,2175071.0,3.8382507352414574
55,1192441,4365652,2556895,12784,1553,2182826.0,3.851935637689146
56,935401,4310896,2868727,14343,1559,2155448.0,3.8036229027809796
57,736298,4202106,3176648,15883,1539,2101053.0,3.7076344735556996
58,583530,4054746,3476799,17383,1500,2027373.0,3.577614665387327
59,466705,3881964,3766424,18832,1448,1940982.0,3.425164322723458
60,377251,3694149,4043707,20218,1386,1847074.5,3.2594499479192844
61,308442,3499102,4307575,21537,1319,1749551.0,3.0873545792723207
62,255154,3302464,4557511,22787,1249,1651232.0,2.9138554272730506
63,213551,3108185,4793401,23967,1179,1554092.5,2.742437686290808
