day,susceptible,infected,recovered,chilam,chilamPerDay,symptomatic,percentOfTotalInfected
0,8100000,5,0,0,0,2.5,4.717310542760731e-06
1,8100309,5,0,0,0,2.5,4.717310542760731e-06
2,8100619,6,0,0,0,3.0,5.660772651312877e-06
3,8100928,7,1,0,0,3.5,6.604234759865024e-06
4,8101237,8,1,0,0,4.0,7.5476968684171695e-06
5,8101547,9,2,0,0,4.5,8.491158976969317e-06
6,8101855,10,2,0,0,5.0,9.434621085521463e-06
7,8102164,11,3,0,0,5.5,1.0378083194073608e-05
8,8102473,13,4,0,0,6.5,1.22650074111779e-05
9,8102781,14,5,0,0,7.0,1.3208469519730047e-05
10,8103089,16,6,0,0,8.0,1.5095393736834339e-05
11,8103396,18,7,0,0,9.0,1.6982317953938634e-05
12,8103703,21,9,0,0,10.5,1.981270427959507e-05
13,8104010,24,10,0,0,12.0,2.264309060525151e-05
14,8104316,27,12,0,0,13.5,2.5473476930907952e-05
15,8104621,30,14,0,0,15.0,2.8303863256564386e-05
16,8104926,34,16,0,0,17.0,3.2077711690772976e-05
17,8105230,39,18,0,0,19.5,3.67950222335337e-05
18,8105533,44,21,0,0,22.0,4.1512332776294434e-05
19,8105835,49,24,0,0,24.5,4.6229643319055166e-05
20,8106136,56,28,0,0,28.0,5.283387807892019e-05
21,8106435,63,32,0,0,31.5,5.943811283878522e-05
22,8106734,71,37,0,0,35.5,6.698580970720238e-05
23,8107030,80,42,0,0,40.0,7.54769686841717e-05
24,8107325,91,47,0,0,45.5,8.585505187824531e-05
25,8107618,103,54,0,0,51.5,9.717659718087107e-05
26,8107908,116,61,0,0,58.0,0.00010944160459204896
27,8108196,131,70,0,0,65.5,0.00012359353622033118
28,8108480,148,79,0,0,74.0,0.00013963239206571764
29,8108762,167,90,0,0,83.5,0.00015755817212820844
30,8109039,188,102,0,0,94.0,0.0001773708764078035
31,8109313,213,115,0,0,106.5,0.00020095742912160715
32,8109581,240,130,0,0,120.0,0.0002264309060525151
33,8109844,271,147,0,0,135.5,0.00025567823141763165
34,8110100,306,167,0,0,153.0,0.0002886994052169568
35,8110350,346,189,0,0,173.0,0.00032643788955904264
36,8110592,390,213,1,0,195.0,0.00036795022233533707
37,8110825,441,241,1,0,220.5,0.00041606678987149653
38,8111047,497,273,1,0,248.5,0.0004689006679504167
39,8111259,561,308,1,0,280.5,0.000529282242897754
40,8111457,634,349,1,0,317.0,0.0005981549768220608
41,8111641,716,394,1,0,358.0,0.0006755188697233367
