day,susceptible,infected,recovered,chilam,chilamPerDay,symptomatic,percentOfTotalInfected
0,160038,5,0,0,0,2.5,0.00022341016855850396
1,160042,6,0,0,0,3.0,0.00026809220227020476
2,160045,8,0,0,0,4.0,0.00035745626969360634
3,160048,11,1,0,0,5.5,0.0004915023708287088
4,160049,15,2,0,0,7.5,0.000670230505675512
5,160049,20,3,0,0,10.0,0.0008936406742340159
6,160047,27,4,0,0,13.5,0.0012064149102159216
7,160042,36,6,0,0,18.0,0.0016085532136212288
8,160034,48,9,0,0,24.0,0.002144737618161638
9,160020,64,12,0,0,32.0,0.0028596501575488507
10,160001,85,17,0,0,42.5,0.0037979728654945677
11,159973,113,23,0,0,56.5,0.0050490698094221905
12,159933,151,31,0,0,75.5,0.006746987090466821
13,159879,200,42,0,0,100.0,0.008936406742340159
14,159805,266,56,0,0,133.0,0.011885420967312411
15,159704,354,75,0,0,177.0,0.015817439933942083
16,159569,470,101,0,0,235.0,0.021000555844499374
17,159388,624,134,0,0,312.0,0.027881589036101297
18,159145,828,179,0,0,414.0,0.03699672391328826
19,158822,1098,238,1,0,549.0,0.049060873015447475
20,158391,1456,317,1,0,728.0,0.06505704108423635
21,157821,1929,421,2,0,964.5,0.08619164302987084
22,157066,2552,558,2,0,1276.0,0.11402855003226044
23,156070,3371,741,3,0,1685.5,0.15062313564214339
24,154761,4446,982,4,1,2223.0,0.19865632188222176
25,153047,5848,1299,6,1,2924.0,0.26130053314602625
26,150815,7667,1717,8,2,3833.5,0.34257715246761
27,147931,10010,2265,11,2,5005.0,0.447267157454125
28,144235,12996,2980,14,3,6498.0,0.5806877101172636
29,139555,16753,3908,19,4,8376.5,0.7485581107721234
30,133716,21401,5105,25,5,10700.5,0.9562402034641087
31,126568,27024,6633,33,7,13512.0,1.2074872790250022
32,118024,33643,8564,42,9,16821.5,1.5032376601627497
33,108103,41165,10967,54,12,20582.5,1.839335917742163
34,96984,49347,13907,69,14,24673.5,2.204924317571299
35,85026,57784,17432,87,17,28892.0,2.5819066359969187
36,72748,65937,21560,107,20,32968.5,2.946199256848415
37,60761,73216,26269,131,23,36608.0,3.271439780235885
38,49644,79106,31499,157,26,39553.0,3.534616958797803
39,39830,83271,37150,185,28,41635.5,3.7207176292070367
40,31541,85613,43098,215,29,42806.5,3.82536295215984
41,24793,86247,49213,246,30,43123.5,3.8536913615330586
42,19449,85431,55373,276,30,42715.5,3.8172308220243103
43,15296,83482,61476,307,30,41741.0,3.7301455383202056
44,12105,80711,67439,337,29,40355.5,3.606331622905083
45,9663,77388,73204,366,28,38694.0,3.457853224881101
46,7794,73729,78731,393,27,36864.5,3.2943616635299877
47,6358,69899,83998,419,26,34949.5,3.123229474414174
48,5248,66017,88991,444,24,33008.5,2.9497738195453516
49,4382,62168,93706,468,23,31084.0,2.7777926717890153
50,3701,58408,98147,490,22,29204.0,2.60978822503302
51,3161,54776,102319,511,20,27388.0,2.4475030785921223
52,2728,51297,106231,531,19,25648.5,2.2920542833091155
53,2378,47982,109896,549,18,23991.0,2.1439333415548276
54,2093,44840,113323,566,17,22420.0,2.0035423916326636
55,1859,41872,116526,582,16,20936.0,1.870926115576336
56,1664,39076,119517,597,14,19538.0,1.7459951493184203
57,1502,36447,122308,611,13,18223.5,1.628526082690359
58,1365,33980,124911,624,13,16990.0,1.518295505523593
59,1249,31669,127338,636,12,15834.5,1.4150353256158523
60,1150,29506,129601,648,11,14753.0,1.3183880866974438
61,1065,27483,131708,658,10,13741.5,1.227996332498673
