day,susceptible,infected,recovered,chilam,chilamPerDay,symptomatic,percentOfTotalInfected
0,2700000,5,0,0,0,2.5,2.2573614135849995e-05
1,2700103,5,0,0,0,2.5,2.2573614135849995e-05
2,2700206,5,0,0,0,2.5,2.2573614135849995e-05
3,2700309,5,1,0,0,2.5,2.2573614135849995e-05
4,2700412,5,1,0,0,2.5,2.2573614135849995e-05
5,2700515,5,1,0,0,2.5,2.2573614135849995e-05
6,2700618,6,2,0,0,3.0,2.7088336963019996e-05
7,2700720,6,2,0,0,3.0,2.7088336963019996e-05
8,2700823,6,3,0,0,3.0,2.7088336963019996e-05
9,2700926,6,3,0,0,3.0,2.7088336963019996e-05
10,2701029,6,4,0,0,3.0,2.7088336963019996e-05
11,2701132,7,4,0,0,3.5,3.160305979018999e-05
12,2701235,7,5,0,0,3.5,3.160305979018999e-05
13,2701338,7,5,0,0,3.5,3.160305979018999e-05
14,2701441,7,6,0,0,3.5,3.160305979018999e-05
15,2701543,8,6,0,0,4.0,3.6117782617359997e-05
16,2701646,8,7,0,0,4.0,3.6117782617359997e-05
17,2701749,8,8,0,0,4.0,3.6117782617359997e-05
18,2701852,9,8,0,0,4.5,4.0632505444529994e-05
19,2701954,9,9,0,0,4.5,4.0632505444529994e-05
20,2702057,9,9,0,0,4.5,4.0632505444529994e-05
21,2702159,10,10,0,0,5.0,4.514722827169999e-05
22,2702262,10,11,0,0,5.0,4.514722827169999e-05
23,2702365,10,12,0,0,5.0,4.514722827169999e-05
24,2702467,11,12,0,0,5.5,4.9661951098869994e-05
25,2702570,11,13,0,0,5.5,4.9661951098869994e-05
26,2702672,11,14,0,0,5.5,4.9661951098869994e-05
27,2702775,12,15,0,0,6.0,5.417667392603999e-05
28,2702877,12,16,0,0,6.0,5.417667392603999e-05
29,2702979,13,17,0,0,6.5,5.8691396753209995e-05
30,2703082,13,18,0,0,6.5,5.8691396753209995e-05
31,2703184,13,18,0,0,6.5,5.8691396753209995e-05
32,2703286,14,19,0,0,7.0,6.320611958037999e-05
33,2703388,14,21,0,0,7.0,6.320611958037999e-05
34,2703490,15,22,0,0,7.5,6.772084240754999e-05
35,2703592,15,23,0,0,7.5,6.772084240754999e-05
36,2703694,16,24,0,0,8.0,7.223556523471999e-05
37,2703796,17,25,0,0,8.5,7.675028806188998e-05
38,2703898,17,26,0,0,8.5,7.675028806188998e-05
39,2704000,18,27,0,0,9.0,8.126501088905999e-05
40,2704102,18,29,0,0,9.0,8.126501088905999e-05
41,2704204,19,30,0,0,9.5,8.577973371622998e-05
42,2704305,20,31,0,0,10.0,9.029445654339998e-05
43,2704407,20,33,0,0,10.0,9.029445654339998e-05
44,2704509,21,34,0,0,10.5,9.480917937056999e-05
45,2704610,22,36,0,0,11.0,9.932390219773999e-05
46,2704711,22,38,0,0,11.0,9.932390219773999e-05
47,2704813,23,39,0,0,11.5,0.00010383862502490999
48,2704914,24,41,0,0,12.0,0.00010835334785207998
